GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0060589	nucleoside-triphosphatase regulator activity	0.00040760416605932097	0.00040760416605932097	+1	RS10265823,RS10520276,ENSG00000182957,ENSG00000273167,RS136094,RS3013462,RS1885697,ENSG00000143344,RS2423366,RS12518000,RS3810965,RS6730157,RS2074129,RS17701547,RS2368785,RS8103611,RS4931635,RS10987613,RS13138544,RS4763132,RS2675181,RS174472,RS2407246,RS10802934,RS17011024,RS4128294,RS9289163,RS2709591,RS7630830
GO:0030695	GTPase regulator activity	0.00040760416605932097	0.00040760416605932097	+1	RS10265823,RS10520276,ENSG00000182957,ENSG00000273167,RS136094,RS3013462,RS1885697,ENSG00000143344,RS2423366,RS12518000,RS3810965,RS6730157,RS2074129,RS17701547,RS2368785,RS8103611,RS4931635,RS10987613,RS13138544,RS4763132,RS2675181,RS174472,RS2407246,RS10802934,RS17011024,RS4128294,RS9289163,RS2709591,RS7630830
GO:0004115	3',5'-cyclic-AMP phosphodiesterase activity	0.011067594243416612	0.011067594243416612	+1	ENSG00000172572,RS1557142,RS13176940,RS4329483,RS12196394
GO:0005085	guanyl-nucleotide exchange factor activity	0.016315269567831664	0.016315269567831664	+1	RS10265823,RS10520276,ENSG00000182957,ENSG00000273167,RS1885697,ENSG00000143344,RS3810965,RS6730157,RS2074129,RS2368785,RS8103611,RS4931635,RS13138544,RS174472,RS2407246,RS7630830
GO:0022836	gated channel activity	0.025029645115215386	0.025029645115215386	+1	RS16843438,ENSG00000185774,RS11727464,RS12450446,RS7320534,RS8033503,RS12833553,RS4979892,RS6783810,RS1564954,RS755048,RS179428,RS11247870,RS7165303,RS10063281,RS12148908,ENSG00000165548,ENSG00000197584,RS1158541,RS12508654
GO:0022839	ion gated channel activity	0.028575618521430316	0.028575618521430316	+1	RS16843438,RS12450446,RS8033503,RS4979892,RS11247870,ENSG00000165548,ENSG00000197584
GO:0005515	protein binding	0.0420463801822028	0.0420463801822028	+1	ENSG00000138039,ENSG00000242441,RS11716015,RS17566445,RS2375957,RS17558560,RS2855142,RS919178,RS1423363,RS713383,RS16843438,RS17004824,RS10152049,RS6993971,ENSG00000163138,ENSG00000185774,RS10265823,RS34692025,RS9109,RS1077084,RS6822207,RS6510057,RS11929934,RS11727464,RS10520276,RS12207056,RS11919795,RS10994470,RS10448137,RS11940750,RS1009478,ENSG00000140836,RS2078450,RS3198502,ENSG00000172572,ENSG00000172349,ENSG00000182957,RS3826293,ENSG00000140945,ENSG00000230989,RS200968,RS7675387,RS926141,RS8063688,RS12155595,RS10215031,RS7085352,ENSG00000141376,RS2992753,RS1879265,RS136094,RS12450446,RS415229,ENSG00000186153,RS10977362,RS3013462,RS200994,RS6507838,RS8033723,RS10786828,RS7320534,RS10815183,ENSG00000183778,RS1885697,RS6047163,RS11092578,RS7654754,ENSG00000143344,ENSG00000173627,RS567229,RS1023551,ENSG00000047936,ENSG00000282218,RS469522,RS8033503,RS1294085,RS4392367,RS3012675,ENSG00000020577,RS1544846,RS2423366,RS4952280,RS3092043,RS10062069,RS4689767,RS3775753,RS554743,RS12518000,RS10004243,RS6625546,RS13176940,RS6773772,RS6735844,RS13023050,ENSG00000170820,RS2307019,RS36044,RS1750961,RS4913353,RS685163,ENSG00000260916,RS7647357,RS8043049,ENSG00000242220,RS10102960,ENSG00000151229,ENSG00000180116,ENSG00000055163,ENSG00000285868,RS935613,RS2059271,RS4601989,RS12465802,RS12833553,RS6730157,RS17052811,ENSG00000151090,RS951818,RS286437,RS4979892,RS1542007,RS4988235,RS6783810,RS185763,RS10802064,RS1064103,RS1550720,RS2074129,RS1465677,RS6665839,RS17701547,RS951157,RS1001793,RS7535790,RS863582,ENSG00000137731,RS1565654,RS2224382,RS755048,RS2276378,RS12013673,RS4961195,RS708271,RS16879814,RS4844285,RS179428,ENSG00000100347,ENSG00000188677,RS9394,ENSG00000101049,ENSG00000277611,RS967582,RS2368785,RS8103611,RS12852829,RS1783919,RS753017,RS196604,RS11247870,RS16868536,RS4894724,RS10877902,RS4931635,RS2171209,ENSG00000149600,RS8891,RS4329483,RS11581894,ENSG00000117091,RS7165303,ENSG00000196565,ENSG00000213931,ENSG00000239920,RS7646077,RS4770433,ENSG00000154127,RS2824722,RS135392,RS13138544,RS7084875,RS2691809,RS2160643,RS3775775,RS10063281,RS12638646,ENSG00000139926,RS6546181,RS3762830,RS4979237,RS4763132,RS7223643,RS2679261,RS17618119,RS6051490,RS4790,RS13225906,RS13264706,RS4478152,RS7296335,ENSG00000146809,ENSG00000104835,RS932443,RS17756404,RS6689839,RS7205,RS12913551,RS3801839,RS236175,ENSG00000125885,ENSG00000126091,RS984773,ENSG00000091879,ENSG00000147316,RS12040249,RS2675181,RS795302,RS749613,RS174472,RS160702,RS2643328,ENSG00000114861,RS12476,RS12570033,ENSG00000172260,ENSG00000136448,RS955514,ENSG00000103274,ENSG00000166676,RS1517002,RS12196394,RS7373858,RS17154753,RS646358,RS1456079,RS8082149,RS790346,RS12987292,RS2268682,RS4860406,RS2376305,RS12300073,RS1332290,RS17146997,RS2193414,RS549476,RS598126,ENSG00000068024,RS10927866,RS6073629,ENSG00000003987,ENSG00000155975,RS1026005,ENSG00000109832,RS220278,RS602117,RS7853782,RS6683598,RS2407246,RS854151,RS7793323,RS7221762,RS927204,RS182784,RS10802934,RS11210527,RS17037864,RS12959006,RS4782574,RS4760653,RS17618877,RS2836399,RS17011024,RS3807848,RS1889625,RS1275528,RS3781638,RS14389,RS1243446,RS17641254,RS10423969,RS11891876,RS4128294,ENSG00000197584,RS852517,RS12622722,RS4305424,RS2526614,RS11046975,RS1263811,RS12481143,RS10764442,RS7832145,RS1022663,RS17408765,ENSG00000115425,ENSG00000118242,RS12152004,ENSG00000239306,RS17552089,RS7147607,RS10144013,RS9289163,RS651284,RS2143511,RS17724172,ENSG00000185917,RS12462724,RS4233728,ENSG00000029153,RS12239846,RS10924730,RS1158541,RS4252125,RS2389910,RS2709591,RS749008,RS1891673,RS9961643,RS3093170,RS3808357,RS16934661,RS4850702,RS7147170,RS3845787,ENSG00000283149,ENSG00000149256,RS35125077,RS3913300,RS11012390,RS9599848,RS3773300,RS4543871,RS11125039,RS7630830,RS4961719,RS862427,RS1002316,RS10906888,ENSG00000101546,RS1492087,RS2046397,RS1884361,RS6559629
GO:0048468	cell development	2.4540228154759626e-8	2.4540228154759626e-8	+1	RS10152049,RS12975551,RS34692025,RS9109,RS11727464,RS11919795,RS2090394,RS11940750,ENSG00000172572,RS12155595,RS10215031,RS10977362,RS10815183,RS1885697,RS7654754,ENSG00000047936,RS3012675,RS2423366,RS10062069,RS3810965,RS13176940,ENSG00000170820,RS36044,RS1750961,RS4913353,RS7647357,ENSG00000055163,RS4601989,ENSG00000151090,RS286437,RS185763,RS1550720,RS6665839,RS17701547,RS951157,RS755048,RS16879814,RS4844285,RS179428,ENSG00000188677,RS967582,RS12852829,RS753017,RS11247870,RS2811802,RS12638646,ENSG00000139926,RS7296335,RS984773,ENSG00000091879,RS12040249,RS749613,ENSG00000114861,ENSG00000172260,RS1517002,RS2268682,RS2376305,RS1332290,RS2193414,RS549476,ENSG00000068024,RS10927866,ENSG00000109832,RS7853782,RS6683598,RS7221762,RS927204,RS182784,RS12959006,RS3893315,RS17618877,RS14389,RS11891876,RS2526614,RS12152004,RS17552089,RS10924730,RS2389910,RS749008,RS1891673,RS16934661,RS4850702,ENSG00000149256,RS3913300,RS11012390,RS1002316,RS10906888
GO:0050896	response to stimulus	7.218250232481086e-8	7.218250232481086e-8	+1	ENSG00000178358,ENSG00000138039,ENSG00000279956,RS11716015,RS2855142,RS3758126,RS713383,RS17004824,RS10152049,RS6993971,RS10265823,RS34692025,RS9109,RS6822207,RS12146686,RS11727464,RS10520276,RS12207056,RS11919795,RS2090394,RS11940750,RS1009478,ENSG00000140836,RS2078450,RS3198502,ENSG00000172572,ENSG00000172349,ENSG00000182957,RS3826293,ENSG00000140945,ENSG00000230989,RS7675387,RS4809960,RS926141,RS10215031,RS17149955,ENSG00000141376,RS1879265,RS12450446,ENSG00000186153,RS4736695,RS10977362,RS8033723,RS10786828,RS6621944,RS10815183,ENSG00000183778,RS1885697,RS1557142,RS7654754,ENSG00000143344,RS567229,ENSG00000047936,RS4511648,RS11162634,RS8033503,RS1544846,RS2423366,RS4952280,RS3092043,RS10062069,RS4689767,RS3810965,RS6625546,RS13176940,RS6735844,ENSG00000170820,RS7546194,RS36044,RS1750961,RS17803698,RS4913353,RS7647357,RS8043049,RS10102960,ENSG00000055163,RS935613,RS4601989,RS12833553,RS6730157,RS17052811,ENSG00000151090,RS951818,RS4979892,RS4988235,RS6783810,RS185763,RS1064103,RS1550720,RS2074129,RS1412444,RS6665839,RS17701547,RS1001793,ENSG00000144642,RS863582,RS2224382,RS755048,RS2276378,RS12013673,RS708271,RS16879814,RS4844285,RS1287271,RS179428,RS4298088,ENSG00000101049,RS967582,RS2368785,RS8103611,RS12852829,RS1783919,RS753017,RS196604,RS16868536,RS4894724,RS2811802,RS4931635,RS10987613,ENSG00000149600,RS4329483,ENSG00000117091,RS7165303,ENSG00000167355,ENSG00000196565,ENSG00000213931,ENSG00000239920,ENSG00000154127,RS7084875,RS2160643,RS12638646,RS3762830,RS4979237,RS1873250,RS4763132,RS2679261,RS6051490,RS4790,RS13225906,RS7296335,ENSG00000146809,RS932443,RS17756404,RS7205,RS12913551,RS3801839,ENSG00000125885,RS2237831,RS984773,ENSG00000091879,ENSG00000147316,RS12040249,RS12148908,RS2675181,RS749613,RS160702,ENSG00000114861,RS8106664,RS12570033,ENSG00000136448,RS12196394,RS11781147,RS7373858,RS646358,RS1456079,RS8082149,RS790346,RS2268682,RS4860406,RS2376305,RS12300073,RS1332290,RS17822848,RS2193414,ENSG00000068024,RS10927866,RS911707,RS6073629,RS1026005,RS220278,RS602117,RS7853782,RS6683598,RS2407246,RS7793323,RS7221762,RS927204,RS182784,RS10802934,RS12959006,RS4402086,RS4782574,RS2836399,RS17011024,RS3781638,RS14389,RS1243446,RS11891876,RS4128294,ENSG00000197584,RS852517,RS2526614,RS11046975,RS12481143,ENSG00000239306,RS17552089,RS651284,RS2143511,RS17724172,ENSG00000185917,RS2249380,RS12462724,RS4233728,ENSG00000029153,RS12239846,RS10924730,RS1158541,RS4252125,RS2389910,RS1005696,RS1891673,RS3093170,RS12508654,RS7147170,RS3845787,ENSG00000149256,RS1105621,RS35125077,RS3913300,RS9599848,RS1546746,RS4543871,RS11125039,RS7630830,RS1002316,RS10906888,RS2046397,RS1884361,RS6559629
GO:0023052	signaling	1.3141415788053316e-7	1.3141415788053316e-7	+1	ENSG00000178358,ENSG00000138039,ENSG00000279956,RS11716015,RS2855142,RS3758126,RS713383,RS17004824,RS10152049,RS6993971,RS10265823,RS7364201,RS34692025,RS9109,RS6822207,RS12146686,RS11727464,RS10520276,RS11919795,RS2090394,RS11940750,RS1009478,RS3198502,ENSG00000172572,ENSG00000172349,ENSG00000182957,RS3826293,ENSG00000140945,RS7675387,RS4809960,RS926141,RS1879265,RS12450446,ENSG00000186153,RS10977362,RS8033723,RS10786828,RS6621944,RS10815183,RS1885697,RS1557142,ENSG00000143344,ENSG00000047936,RS4511648,RS469522,RS11162634,RS8033503,RS3012675,RS1544846,RS2423366,RS4952280,RS3092043,RS10062069,RS4689767,RS3810965,RS6625546,RS13176940,ENSG00000170820,RS7546194,RS36044,RS1750961,RS17803698,RS4913353,RS7647357,RS8043049,ENSG00000055163,RS4601989,RS12833553,RS6730157,RS17052811,ENSG00000151090,RS951818,RS6783810,RS185763,RS1064103,RS1550720,RS2074129,RS1001793,ENSG00000144642,RS863582,RS2224382,RS755048,RS2276378,RS12013673,RS708271,RS16879814,RS4844285,RS179428,RS9394,RS4298088,ENSG00000101049,RS967582,RS2368785,RS8103611,RS12852829,RS753017,RS4931635,RS10987613,ENSG00000149600,RS4329483,ENSG00000167355,ENSG00000239920,ENSG00000154127,RS7084875,RS2160643,RS12638646,RS6546181,RS1873250,RS4763132,RS2679261,RS6051490,RS13225906,ENSG00000146809,RS932443,RS7205,RS12913551,RS3801839,RS2237831,RS984773,ENSG00000091879,RS12040249,RS12148908,RS2675181,RS749613,RS2643328,ENSG00000114861,RS8106664,RS12570033,ENSG00000136448,RS12196394,RS7373858,RS1456079,RS790346,RS4860406,RS12300073,RS1332290,RS2193414,ENSG00000068024,RS10927866,RS6073629,RS1026005,RS602117,RS7853782,RS6683598,RS2407246,RS182784,RS10802934,RS12959006,RS4402086,RS4782574,RS2836399,RS17011024,RS3807848,RS3781638,RS14389,RS1243446,RS11891876,ENSG00000197584,RS2526614,RS12481143,ENSG00000239306,RS17552089,RS9289163,RS651284,RS2143511,RS17724172,RS2249380,RS12462724,RS4233728,RS1158541,RS4252125,RS2389910,RS749008,RS1891673,RS12508654,RS16934661,RS3845787,ENSG00000149256,RS35125077,RS3913300,RS1546746,RS4543871,RS11125039,RS7630830,RS10906888,RS1884361,RS6559629
GO:0007154	cell communication	1.5549091441489318e-7	1.5549091441489318e-7	+1	ENSG00000178358,ENSG00000138039,ENSG00000279956,RS11716015,RS2855142,RS3758126,RS713383,RS17004824,RS10152049,RS6993971,RS10265823,RS7364201,RS34692025,RS9109,RS6822207,RS12146686,RS11727464,RS10520276,RS11919795,RS2090394,RS11940750,RS1009478,RS3198502,ENSG00000172572,ENSG00000172349,ENSG00000182957,RS3826293,ENSG00000140945,RS7675387,RS4809960,RS926141,RS1879265,RS12450446,ENSG00000186153,RS10977362,RS8033723,RS10786828,RS6621944,RS10815183,RS1885697,RS1557142,ENSG00000143344,ENSG00000047936,RS4511648,RS469522,RS11162634,RS8033503,RS3012675,RS1544846,RS2423366,RS4952280,RS3092043,RS10062069,RS4689767,RS3810965,RS6625546,RS13176940,ENSG00000170820,RS7546194,RS36044,RS1750961,RS17803698,RS4913353,RS7647357,RS8043049,ENSG00000055163,RS4601989,RS12833553,RS6730157,RS17052811,ENSG00000151090,RS951818,RS6783810,RS185763,RS1064103,RS1550720,RS2074129,RS1001793,ENSG00000144642,RS863582,RS2224382,RS755048,RS2276378,RS12013673,RS708271,RS16879814,RS4844285,RS179428,RS9394,RS4298088,ENSG00000101049,RS967582,RS2368785,RS8103611,RS12852829,RS753017,RS4931635,RS10987613,ENSG00000149600,RS4329483,ENSG00000167355,ENSG00000239920,ENSG00000154127,RS7084875,RS2160643,RS12638646,RS6546181,RS1873250,RS4763132,RS2679261,RS6051490,RS13225906,ENSG00000146809,RS932443,RS7205,RS12913551,RS3801839,RS2237831,RS984773,ENSG00000091879,RS12040249,RS12148908,RS2675181,RS749613,RS2643328,ENSG00000114861,RS8106664,RS12570033,ENSG00000136448,RS12196394,RS7373858,RS646358,RS1456079,RS790346,RS4860406,RS12300073,RS1332290,RS2193414,ENSG00000068024,RS10927866,RS6073629,RS1026005,RS602117,RS7853782,RS6683598,RS2407246,RS182784,RS10802934,RS12959006,RS4402086,RS4782574,RS2836399,RS17011024,RS3807848,RS3781638,RS14389,RS1243446,RS11891876,ENSG00000197584,RS2526614,RS12481143,ENSG00000239306,RS17552089,RS9289163,RS651284,RS2143511,RS17724172,RS2249380,RS12462724,RS4233728,RS12239846,RS1158541,RS4252125,RS2389910,RS1891673,RS12508654,RS16934661,RS3845787,ENSG00000149256,RS35125077,RS3913300,RS1546746,RS4543871,RS11125039,RS7630830,RS10906888,RS1884361,RS6559629
GO:0050794	regulation of cellular process	1.8220069436559298e-7	1.8220069436559298e-7	+1	ENSG00000178358,ENSG00000138039,ENSG00000242441,ENSG00000279956,RS11716015,RS2375957,RS2855142,RS919178,RS1423363,RS3758126,RS713383,RS17004824,RS10152049,RS6993971,ENSG00000185774,RS10265823,RS7364201,RS34692025,RS9109,RS1077084,RS6822207,RS6510057,RS12146686,RS713061,RS11727464,RS10520276,RS12207056,RS11919795,RS2090394,RS11940750,RS1009478,ENSG00000140836,RS2078450,RS3198502,ENSG00000172572,ENSG00000172349,ENSG00000182957,RS3826293,ENSG00000140945,ENSG00000230989,RS7675387,RS4809960,RS926141,RS8063688,RS17149955,ENSG00000141376,RS1879265,RS12450446,ENSG00000186153,RS4736695,RS10977362,RS6507838,RS8033723,RS10786828,RS6621944,RS7320534,RS10815183,RS1885697,RS1557142,ENSG00000143344,RS567229,ENSG00000047936,ENSG00000282218,RS4511648,RS469522,RS11162634,RS8033503,RS3012675,ENSG00000020577,RS1544846,RS2423366,RS4952280,RS3092043,RS10062069,RS4689767,RS3810965,RS6625546,RS13176940,ENSG00000170820,RS7546194,RS36044,RS1750961,ENSG00000100003,RS17803698,RS4913353,ENSG00000260916,RS7647357,RS8043049,RS7142232,ENSG00000242220,ENSG00000265590,ENSG00000151229,ENSG00000055163,RS935613,RS2059271,RS4601989,RS12833553,RS7061912,RS6730157,RS17052811,ENSG00000151090,RS951818,RS4979892,RS4988235,RS6783810,RS185763,RS10802064,RS1064103,RS1550720,RS2074129,RS11622263,RS6665839,RS17701547,RS1564954,RS1001793,ENSG00000144642,RS7535790,RS863582,ENSG00000137731,RS2224382,RS755048,RS2276378,RS12013673,RS708271,RS16879814,RS4844285,RS179428,RS9394,RS1372120,RS4298088,ENSG00000101049,ENSG00000277611,RS967582,RS2368785,RS8103611,RS12852829,RS1783919,RS753017,RS11247870,RS4931635,RS10987613,ENSG00000149600,RS8891,RS4329483,RS7165303,RS11709691,ENSG00000167355,ENSG00000196565,ENSG00000213931,ENSG00000239920,RS4770433,ENSG00000154127,RS7084875,RS2691809,RS2160643,RS3775775,RS10063281,RS12638646,ENSG00000139926,RS3762830,RS1873250,RS4763132,RS7223643,RS2679261,RS17618119,RS6051490,RS4790,RS13225906,RS13264706,ENSG00000146809,RS932443,RS17756404,RS7205,RS12913551,RS3801839,RS2237831,RS984773,ENSG00000091879,ENSG00000147316,RS12040249,RS12148908,RS2675181,RS749613,RS160702,ENSG00000114861,ENSG00000285708,RS8106664,RS12570033,ENSG00000172260,ENSG00000136448,ENSG00000103274,RS1517002,RS12196394,RS7373858,RS646358,RS1456079,RS8082149,RS4860406,RS2376305,ENSG00000259164,RS12300073,RS1332290,RS2193414,RS549476,ENSG00000068024,RS10927866,RS6073629,RS1026005,ENSG00000109832,RS220278,RS602117,RS7853782,RS6683598,RS2407246,RS7793323,RS7221762,RS927204,RS182784,RS10802934,RS11210527,RS12959006,RS4402086,RS3893315,RS4782574,RS17618877,RS2836399,RS17011024,RS3807848,RS3781638,RS14389,RS1243446,RS11891876,RS4128294,RS2526614,ENSG00000175274,RS11046975,RS1263811,RS12481143,RS7832145,RS17408765,RS12152004,ENSG00000239306,RS17552089,RS9289163,RS651284,RS2143511,RS17724172,ENSG00000185917,RS2249380,RS12462724,RS4233728,ENSG00000029153,RS12239846,RS10924730,RS1158541,RS4252125,RS2389910,RS749008,RS1005696,RS1891673,RS12508654,RS16934661,RS4850702,RS7147170,RS3845787,ENSG00000149256,RS35125077,RS3913300,RS9599848,RS1546746,RS3773300,RS4543871,RS11125039,RS7630830,RS4961719,RS10906888,RS1884361,RS6559629
