,,train,train,train,train,test,test,test,test
,,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,
accuracy,LC0,0.7045239473958413,0.7045239473958413,0.7045239473958413,0.7045239473958413,0.6158946935417523,0.6158946935417523,0.6158946935417523,0.6158946935417523
case,LC0,0.7646771701553678,0.692020758483034,0.7249753270357214,500.8,0.6735682916117699,0.629447619047619,0.6481235387195049,125.2
control,LC0,0.6445997790707868,0.7208526421791769,0.6790464768661549,382.4,0.5553618149538709,0.5985964912280701,0.573039409980842,95.6
macro avg,LC0,0.7046384746130774,0.7064367003311055,0.7020109019509383,883.1999999999999,0.6144650532828204,0.6140220551378446,0.6105814743501735,220.8
weighted avg,LC0,0.7126778852164626,0.7045239473958413,0.7050946168023106,883.1999999999999,0.6224402453621231,0.6158946935417523,0.6155426965186634,220.8
accuracy,LC10,0.7124062866718253,0.7124062866718253,0.7124062866718253,0.7124062866718253,0.63406828465652,0.63406828465652,0.63406828465652,0.63406828465652
case,LC10,0.7728664881757645,0.6984870259481039,0.7335299304399496,500.8,0.7011615866083629,0.6197079365079364,0.6569769013655029,125.2
control,LC10,0.6494555998883242,0.7306494607193142,0.6873926554655092,382.4,0.5679657755756486,0.6525877192982457,0.6064580873634415,95.6
macro avg,LC10,0.7111610440320444,0.714568243333709,0.7104612929527295,883.2,0.6345636810920057,0.636147827903091,0.6317174943644722,220.8
weighted avg,LC10,0.7194361068974612,0.7124062866718253,0.7135522693466527,883.2,0.6434635803981251,0.63406828465652,0.6351515863431657,220.8
accuracy,LC11,0.7182909456142419,0.7182909456142419,0.7182909456142419,0.7182909456142419,0.6340148087206912,0.6340148087206912,0.6340148087206912,0.6340148087206912
case,LC11,0.7774234171121657,0.706463872255489,0.7392978635053378,500.8,0.7048116968315431,0.6167365079365079,0.6554734269021047,125.2
control,LC11,0.6576224885712479,0.7337853539841155,0.6927130976748863,382.4,0.5677615914650188,0.6567982456140351,0.6067097526330676,95.6
macro avg,LC11,0.7175229528417069,0.7201246131198022,0.716005480590112,883.2,0.636286644148281,0.6367673767752715,0.6310915897675862,220.8
weighted avg,LC11,0.7255551136091156,0.7182909456142419,0.7191278212138681,883.2,0.6454985734288795,0.6340148087206912,0.6343391660593538,220.8
accuracy,LC12,0.7212421147568706,0.7212421147568706,0.7212421147568706,0.7212421147568706,0.5996791443850268,0.5996791443850268,0.5996791443850268,0.5996791443850268
case,LC12,0.8018591600515981,0.6789317365269462,0.7327497536130658,500.8,0.671461655528353,0.5782603174603175,0.617870028391886,125.2
control,LC12,0.6516776911303571,0.7767172911568904,0.7068126957504477,382.4,0.5347679834397102,0.6276754385964912,0.5747772818041482,95.6
macro avg,LC12,0.7267684255909777,0.7278245138419182,0.7197812246817568,883.2,0.6031148194840317,0.6029678780284043,0.5963236550980171,220.8
weighted avg,LC12,0.736847701385643,0.7212421147568706,0.7215119282796022,883.2,0.6122785856576625,0.5996791443850268,0.5992259609071888,220.8
accuracy,LC13,0.7214698964349221,0.7214698964349221,0.7214698964349221,0.7214698964349221,0.6168572603866721,0.6168572603866721,0.6168572603866721,0.6168572603866721
case,LC13,0.7744277924716678,0.7192439121756486,0.7449894815398992,500.8,0.6710895413773212,0.6358222222222223,0.6526762601267265,125.2
control,LC13,0.6646357810757857,0.7243339302557653,0.6923224039591539,382.4,0.5546695412715785,0.5921710526315789,0.5724312290088347,95.6
macro avg,LC13,0.7195317867737268,0.721788921215707,0.7186559427495266,883.2,0.6128795413244499,0.6139966374269006,0.6125537445677807,220.8
