,,train,train,train,train,test,test,test,test
,,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,
accuracy,LC0,0.901945752601938,0.901945752601938,0.901945752601938,0.901945752601938,0.795281777046483,0.795281777046483,0.795281777046483,0.795281777046483
case,LC0,0.9249517339062164,0.9001604790419162,0.9123760431757862,500.8,0.8255286277190301,0.8114412698412699,0.8175852387022458,125.2
control,LC0,0.8736673363262686,0.9042773365412218,0.8886914709402298,382.4,0.7606847383350364,0.7740789473684211,0.7660564475711471,95.6
macro avg,LC0,0.8993095351162426,0.9022189077915692,0.900533757058008,883.2,0.7931066830270332,0.7927601086048455,0.7918208431366964,220.8
weighted avg,LC0,0.9027460399691104,0.901945752601938,0.9021221773144436,883.2,0.7974477306168292,0.795281777046483,0.7952808406336601,220.8
accuracy,LC10,0.8297102637552974,0.8297102637552974,0.8297102637552974,0.8297102637552974,0.7436157959687371,0.7436157959687371,0.7436157959687371,0.7436157959687371
case,LC10,0.8693068327806316,0.823482634730539,0.845754830557769,500.8,0.7870522720765539,0.7508063492063493,0.7681638887611937,125.2
control,LC10,0.7838434952115767,0.8378617418287698,0.8099272733038442,382.4,0.6936508442824232,0.7343421052631578,0.7129804683577154,95.6
macro avg,LC10,0.8265751639961041,0.8306721882796543,0.8278410519308066,883.2,0.7403515581794886,0.7425742272347536,0.7405721785594546,220.8
weighted avg,LC10,0.8323027855476465,0.8297102637552974,0.8302430219327546,883.2,0.7466503595869664,0.7436157959687371,0.744259563385606,220.8
accuracy,LC11,0.8358234730428455,0.8358234730428455,0.8358234730428455,0.8358234730428455,0.7653599341834636,0.7653599341834636,0.7653599341834636,0.7653599341834636
case,LC11,0.8702113001002122,0.8350658682634731,0.8522533669091714,500.8,0.8023348714094769,0.7795174603174603,0.7904908635444939,125.2
control,LC11,0.7948638915790244,0.8368228233975368,0.8152718343066152,382.4,0.7205811352212883,0.7467763157894737,0.7330440465521468,95.6
macro avg,LC11,0.8325375958396183,0.8359443458305048,0.8337626006078933,883.2,0.7614580033153826,0.763146888053467,0.7617674550483203,220.8
weighted avg,LC11,0.8375907868864907,0.8358234730428455,0.8362412722439491,883.2,0.766932097614317,0.7653599341834636,0.7656244239831864,220.8
accuracy,LC12,0.8317482564068401,0.8317482564068401,0.8317482564068401,0.8317482564068401,0.741875771287536,0.741875771287536,0.741875771287536,0.741875771287536
case,LC12,0.870395352384054,0.8262730538922156,0.8477388000131884,500.8,0.7868360526232634,0.7507936507936508,0.767370917643645,125.2
control,LC12,0.7867948325218512,0.8389129632414255,0.811990113170314,382.4,0.6915335724946061,0.7303728070175438,0.709022155368122,95.6
macro avg,LC12,0.8285950924529525,0.8325930085668205,0.8298644565917511,883.2,0.7391848125589348,0.7405832289055974,0.7381965365058835,220.8
weighted avg,LC12,0.8341968326731586,0.8317482564068401,0.8322609208161987,883.2,0.7456015319602667,0.741875771287536,0.7420839247444293,220.8
accuracy,LC13,0.8423894272405364,0.8423894272405364,0.8423894272405364,0.8423894272405364,0.7689880707527766,0.7689880707527766,0.7689880707527766,0.7689880707527766
case,LC13,0.8766787784339272,0.8402522954091817,0.8580718320866874,500.8,0.8157065074094298,0.7683555555555556,0.7908923507093895,125.2
control,LC13,0.8015976089483978,0.845191584760707,0.8228076448433612,382.4,0.7163585505484813,0.7699122807017543,0.7415975907586818,95.6
macro avg,LC13,0.8391381936911625,0.8427219400849444,0.8404397384650244,883.2,0.7660325289789556,0.769133918128655,0.7662449707340356,220.8
