,,train,train,train,train,test,test,test,test
,,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,
accuracy,LC0,0.8454483805892773,0.8454483805892773,0.8454483805892773,0.8454483805892773,0.7554422048539695,0.7554422048539695,0.7554422048539695,0.7554422048539695
case,LC0,0.8731701027459242,0.8507719228210245,0.8616372815858505,500.8,0.7948545651075241,0.7698412698412699,0.7807689893131303,125.2
control,LC0,0.8121673057220792,0.838469600244237,0.8248387938526012,382.4,0.7122591877425288,0.7363815789473684,0.7220500447045637,95.6
macro avg,LC0,0.8426687042340016,0.8446207615326308,0.8432380377192259,883.1999999999999,0.7535568764250264,0.7531114243943191,0.751409517008847,220.8
weighted avg,LC0,0.8467560795122114,0.8454483805892773,0.8457053136449814,883.1999999999999,0.7590450378278,0.7554422048539695,0.755366480178696,220.8
accuracy,LC10,0.8097769328133728,0.8097769328133728,0.8097769328133728,0.8097769328133728,0.7236980666392431,0.7236980666392431,0.7236980666392431,0.7236980666392431
case,LC10,0.8472764213805977,0.8107009980039921,0.8285502898495529,500.8,0.7755970457713599,0.723568253968254,0.7472227765016022,125.2
control,LC10,0.7654308675996928,0.8085779120473529,0.7863662588903917,382.4,0.6692662272528936,0.7237719298245614,0.6938347795139593,95.6
macro avg,LC10,0.8063536444901453,0.8096394550256724,0.8074582743699723,883.2,0.7224316365121268,0.7236700918964077,0.7205287780077808,220.8
weighted avg,LC10,0.8118428190116973,0.8097769328133728,0.8102850205276004,883.2,0.7295483042943842,0.7236980666392431,0.7241228261123445,220.8
accuracy,LC11,0.8303866907857316,0.8303866907857316,0.8303866907857316,0.8303866907857316,0.7318839983545866,0.7318839983545866,0.7318839983545866,0.7318839983545866
case,LC11,0.8548442742153786,0.8442467065868264,0.8495029360555144,500.8,0.7688300483308077,0.7540444444444445,0.7612129005104791,125.2
control,LC11,0.799298893094303,0.8122359985236421,0.805701017903996,382.4,0.6861342780484918,0.7029166666666666,0.6942009268249091,95.6
macro avg,LC11,0.8270715836548408,0.8282413525552343,0.8276019769797551,883.2,0.7274821631896498,0.7284805555555556,0.7277069136676941,220.8
weighted avg,LC11,0.8307950625757858,0.8303866907857316,0.8305379883119011,883.2,0.7330474481951413,0.7318839983545866,0.7321980534384016,220.8
accuracy,LC12,0.8195208129423038,0.8195208129423038,0.8195208129423038,0.8195208129423038,0.7138009049773756,0.7138009049773756,0.7138009049773756,0.7138009049773756
case,LC12,0.8572183383136551,0.8178842315369261,0.8370780185685034,500.8,0.7567348977946277,0.7299936507936508,0.742655945946345,125.2
control,LC12,0.7751497543008746,0.8216628162891475,0.797713667561388,382.4,0.6633504281890682,0.6926535087719298,0.6770462954116259,95.6
macro avg,LC12,0.8161840463072648,0.8197735239130367,0.8173958430649456,883.2,0.7100426629918479,0.7113235797827903,0.7098511206789855,220.8
weighted avg,LC12,0.8216835250346897,0.8195208129423038,0.8200339221477588,883.2,0.7163074759503046,0.7138009049773756,0.7142386923929083,220.8
accuracy,LC13,0.8272190137488918,0.8272190137488918,0.8272190137488918,0.8272190137488918,0.7237062937062937,0.7237062937062937,0.7237062937062937,0.7237062937062937
case,LC13,0.868170606447617,0.8198914171656686,0.8431850206259712,500.8,0.7633786462809342,0.7460698412698413,0.7537502450470882,125.2
control,LC13,0.7806134636528383,0.8368296583872159,0.8075475449284719,382.4,0.6768884670591243,0.6945394736842105,0.684302948907642,95.6
macro avg,LC13,0.8243920350502275,0.8283605377764423,0.8253662827772216,883.2,0.7201335566700292,0.7203046574770259,0.719026596977365,220.8
