,,train,train,train,train,test,test,test,test
,,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,
accuracy,LC0,0.6333793679506823,0.6333793679506823,0.6333793679506823,0.6333793679506823,0.5235746606334841,0.5235746606334841,0.5235746606334841,0.5235746606334841
case,LC0,0.6987220497396377,0.6217980039920159,0.6575214448103709,500.8,0.5911827981680636,0.5161142857142857,0.5505011759105474,125.2
control,LC0,0.5676367235060086,0.6485284267220757,0.6049003442259875,382.4,0.4576761443279296,0.533530701754386,0.4921663112721228,95.6
macro avg,LC0,0.6331793866228231,0.6351632153570458,0.6312108945181792,883.2,0.5244294712479967,0.5248224937343359,0.5213337435913351,220.8
weighted avg,LC0,0.6419640185911687,0.6333793679506823,0.6347409803804149,883.2,0.5333832490793196,0.5235746606334841,0.5252062163073996,220.8
accuracy,LC10,0.6383621241858535,0.6383621241858535,0.6383621241858535,0.6383621241858535,0.5244919786096256,0.5244919786096256,0.5244919786096256,0.5244919786096256
case,LC10,0.7019480067639037,0.6321780439121756,0.6633545357136861,500.8,0.5904558116793708,0.5334984126984127,0.5586401335838398,125.2
control,LC10,0.5754296605501052,0.6464218829029569,0.6067095720570499,382.4,0.4551793220350594,0.5126754385964911,0.480614438994686,95.6
macro avg,LC10,0.6386888336570045,0.6392999634075662,0.6350320538853681,883.2,0.522817566857215,0.523086925647452,0.5196272862892629,220.8
weighted avg,LC10,0.6471645230890027,0.6383621241858535,0.6388349750889171,883.2,0.5318828775922111,0.5244919786096256,0.524861298796069,220.8
accuracy,LC11,0.6272587282146939,0.6272587282146939,0.6272587282146939,0.6272587282146939,0.510909090909091,0.510909090909091,0.510909090909091,0.510909090909091
case,LC11,0.6944643736186034,0.6149908183632735,0.6498067050851993,500.8,0.5795719351461764,0.4921269841269841,0.5292626022823107,125.2
control,LC11,0.5631851103694036,0.6432764206526048,0.5982231746852937,382.4,0.4476824494942373,0.535548245614035,0.4853037554144131,95.6
macro avg,LC11,0.6288247419940035,0.6291336195079392,0.6240149398852466,883.2,0.5136271923202068,0.5138376148705095,0.5072831788483619,220.8
weighted avg,LC11,0.6376192327748664,0.6272587282146939,0.6274805506991302,883.2,0.5224699511688276,0.510909090909091,0.5102222623097867,220.8
accuracy,LC12,0.631566850975951,0.631566850975951,0.631566850975951,0.631566850975951,0.5090333196215548,0.5090333196215548,0.5090333196215548,0.5090333196215548
case,LC12,0.6937788533035356,0.6377884231536927,0.6600408072200016,500.8,0.569187779550418,0.530120634920635,0.544807968822494,125.2
control,LC12,0.572335851575991,0.6233907016800405,0.5904822027263943,382.4,0.4436288958088649,0.4812280701754385,0.4569717751314671,95.6
macro avg,LC12,0.6330573524397634,0.6305895624168665,0.6252615049731979,883.2,0.5064083376796414,0.5056743525480367,0.5008898719769805,220.8
weighted avg,LC12,0.6411941013955127,0.631566850975951,0.6299289199505073,883.2,0.5148161262929025,0.5090333196215548,0.5068141766289294,220.8
accuracy,LC13,0.6216028758397688,0.6216028758397688,0.6216028758397688,0.6216028758397688,0.5062895927601809,0.5062895927601809,0.5062895927601809,0.5062895927601809
case,LC13,0.6871757869044174,0.6134459081836328,0.6468806853600528,500.8,0.5696643056018056,0.5158095238095238,0.5399854559175166,125.2
control,LC13,0.5563333630225795,0.6323513731494266,0.5905749073065655,382.4,0.4400864394512352,0.4936842105263158,0.4639693983919019,95.6
macro avg,LC13,0.6217545749634985,0.6228986406665296,0.6187277963333091,883.2,0.5048753725265205,0.5047468671679198,0.5019774271547093,220.8
