,,train,train,train,train,test,test,test,test
,,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,
accuracy,LC0,0.75,0.75,0.75,0.75,0.503673385,0.503673385,0.503673385,0.503673385
case,LC0,0.781549716,0.776356886,0.778898334,500.8,0.561455254,0.549460317,0.552977235,125.2
control,LC0,0.709406875,0.715478518,0.71235915,382.4,0.4321518,0.443311404,0.434987295,95.6
macro avg,LC0,0.745478296,0.745917702,0.745628742,883.2,0.496803527,0.49638586,0.493982265,220.8
weighted avg,LC0,0.750313384,0.75,0.750089356,883.2,0.505481365,0.503673385,0.501982903,220.8
accuracy,LC10,0.708560389,0.708560389,0.708560389,0.708560389,0.551596051,0.551596051,0.551596051,0.551596051
case,LC10,0.753112569,0.723254291,0.73764104,500.8,0.611739162,0.570222222,0.589215422,125.2
control,LC10,0.656022952,0.689346985,0.671958656,382.4,0.485323184,0.527039474,0.504160771,95.6
macro avg,LC10,0.70456776,0.706300638,0.704799848,883.2,0.548531173,0.548630848,0.546688096,220.8
weighted avg,LC10,0.71108135,0.708560389,0.709198899,883.2,0.557010773,0.551596051,0.552427401,220.8
accuracy,LC11,0.697689899,0.697689899,0.697689899,0.697689899,0.543488276,0.543488276,0.543488276,0.543488276
case,LC11,0.744777276,0.710883832,0.727013317,500.8,0.598637246,0.590895238,0.593215332,125.2
control,LC11,0.643336841,0.680432792,0.660811906,382.4,0.474448861,0.481052632,0.475759964,95.6
macro avg,LC11,0.694057058,0.695658312,0.693912611,883.2,0.536543053,0.535973935,0.534487648,220.8
weighted avg,LC11,0.700862148,0.697689899,0.698348088,883.2,0.544853639,0.543488276,0.54243061,220.8
accuracy,LC12,0.713989741,0.713989741,0.713989741,0.713989741,0.53802139,0.53802139,0.53802139,0.53802139
case,LC12,0.755350278,0.734832735,0.744030096,500.8,0.590708459,0.598869841,0.593683589,125.2
control,LC12,0.665784694,0.686746955,0.674898479,382.4,0.467872749,0.457938596,0.461202734,95.6
macro avg,LC12,0.710567486,0.710789845,0.709464287,883.2,0.529290604,0.528404219,0.527443161,220.8
weighted avg,LC12,0.716581263,0.713989741,0.714091694,883.2,0.53751115,0.53802139,0.536403528,220.8
accuracy,LC13,0.717841019,0.717841019,0.717841019,0.717841019,0.559769642,0.559769642,0.559769642,0.559769642
case,LC13,0.769235915,0.718449501,0.741661722,500.8,0.619495022,0.583060317,0.599487645,125.2
control,LC13,0.66339206,0.71701639,0.687701376,382.4,0.492402186,0.529539474,0.508845548,95.6
macro avg,LC13,0.716313988,0.717732946,0.714681549,883.2,0.555948604,0.556299896,0.554166596,220.8
weighted avg,LC13,0.723404098,0.717841019,0.718302146,883.2,0.564484868,0.559769642,0.560192324,220.8
accuracy,LC14,0.712632275,0.712632275,0.712632275,0.712632275,0.537996709,0.537996709,0.537996709,0.537996709
case,LC14,0.75798053,0.724450299,0.740295553,500.8,0.59771128,0.560622222,0.578260544,125.2
control,LC14,0.660547749,0.697183984,0.677750656,382.4,0.470754509,0.508289474,0.488466843,95.6
macro avg,LC14,0.709264139,0.710817142,0.709023104,883.2,0.534232895,0.534455848,0.533363693,220.8
weighted avg,LC14,0.715801497,0.712632275,0.713212506,883.2,0.5427474,0.537996709,0.539401279,220.8
accuracy,LC1,0.709014415,0.709014415,0.709014415,0.709014415,0.500913204,0.500913204,0.500913204,0.500913204
case,LC1,0.750155951,0.730434331,0.73966235,500.8,0.557121641,0.564101587,0.559427484,125.2
