,LC,precision,recall,f1-score,support
accuracy,LC0,0.7045239473958413,0.7045239473958413,0.7045239473958413,0.7045239473958413
case,LC0,0.7646771701553678,0.692020758483034,0.7249753270357214,500.8
control,LC0,0.6445997790707868,0.7208526421791769,0.6790464768661549,382.4
macro avg,LC0,0.7046384746130774,0.7064367003311055,0.7020109019509383,883.1999999999999
weighted avg,LC0,0.7126778852164626,0.7045239473958413,0.7050946168023106,883.1999999999999
accuracy,LC10,0.7124062866718253,0.7124062866718253,0.7124062866718253,0.7124062866718253
case,LC10,0.7728664881757645,0.6984870259481039,0.7335299304399496,500.8
control,LC10,0.6494555998883242,0.7306494607193142,0.6873926554655092,382.4
macro avg,LC10,0.7111610440320444,0.714568243333709,0.7104612929527295,883.2
weighted avg,LC10,0.7194361068974612,0.7124062866718253,0.7135522693466527,883.2
accuracy,LC11,0.7182909456142419,0.7182909456142419,0.7182909456142419,0.7182909456142419
case,LC11,0.7774234171121657,0.706463872255489,0.7392978635053378,500.8
control,LC11,0.6576224885712479,0.7337853539841155,0.6927130976748863,382.4
macro avg,LC11,0.7175229528417069,0.7201246131198022,0.716005480590112,883.2
weighted avg,LC11,0.7255551136091156,0.7182909456142419,0.7191278212138681,883.2
accuracy,LC12,0.7212421147568706,0.7212421147568706,0.7212421147568706,0.7212421147568706
case,LC12,0.8018591600515981,0.6789317365269462,0.7327497536130658,500.8
control,LC12,0.6516776911303571,0.7767172911568904,0.7068126957504477,382.4
macro avg,LC12,0.7267684255909777,0.7278245138419182,0.7197812246817568,883.2
weighted avg,LC12,0.736847701385643,0.7212421147568706,0.7215119282796022,883.2
accuracy,LC13,0.7214698964349221,0.7214698964349221,0.7214698964349221,0.7214698964349221
case,LC13,0.7744277924716678,0.7192439121756486,0.7449894815398992,500.8
control,LC13,0.6646357810757857,0.7243339302557653,0.6923224039591539,382.4
macro avg,LC13,0.7195317867737268,0.721788921215707,0.7186559427495266,883.2
weighted avg,LC13,0.7268815917774478,0.7214698964349221,0.7221924082375657,883.2
accuracy,LC14,0.7144494037705682,0.7144494037705682,0.7144494037705682,0.7144494037705682
case,LC14,0.7813750832168291,0.6912766467065868,0.7322098620241003,500.8
control,LC14,0.6501115183120442,0.7447281724604595,0.6928907983107488,382.4
macro avg,LC14,0.7157433007644366,0.7180024095835231,0.7125503301674245,883.2
weighted avg,LC14,0.724529066069477,0.7144494037705682,0.7151943241466219,883.2
accuracy,LC1,0.6996168621643273,0.6996168621643273,0.6996168621643273,0.6996168621643273
case,LC1,0.7712486413849495,0.6680779773785761,0.7152820230335536,500.8
control,LC1,0.6316380430007531,0.740937259351405,0.6813847578883951,382.4
macro avg,LC1,0.7014433421928513,0.7045076183649907,0.6983333904609744,883.1999999999999
weighted avg,LC1,0.7108039750716046,0.6996168621643273,0.7006032962387483,883.1999999999999
accuracy,LC2,0.717162542340745,0.717162542340745,0.717162542340745,0.717162542340745
case,LC2,0.7617138708129828,0.7289602129075182,0.7424915204916721,500.8
control,LC2,0.6720646824163392,0.7017351760465509,0.6832716762833503,382.4
macro avg,LC2,0.716889276614661,0.7153476944770346,0.7128815983875111,883.1999999999999
weighted avg,LC2,0.7229024618853476,0.717162542340745,0.7168479279941847,883.1999999999999
accuracy,LC3,0.700935339725227,0.700935339725227,0.700935339725227,0.700935339725227
case,LC3,0.772938330291697,0.6690633399866933,0.7165964533348522,500.8
control,LC3,0.6325973924572245,0.7426710684000201,0.6826959858131495,382.4
macro avg,LC3,0.7027678613744608,0.7058672041933566,0.6996462195740009,883.1999999999999
weighted avg,LC3,0.7121735436818414,0.700935339725227,0.7019188697085575,883.1999999999999
accuracy,LC4,0.7071617565921743,0.7071617565921743,0.7071617565921743,0.7071617565921743
case,LC4,0.7705069456408902,0.6897033932135729,0.7260113523006212,500.8
control,LC4,0.6457457028493684,0.7300627907718527,0.6837007428779637,382.4
macro avg,LC4,0.7081263242451293,0.7098830919927127,0.7048560475892924,883.1999999999999
weighted avg,LC4,0.7164956250644255,0.7071617565921743,0.7076873448018725,883.1999999999999
accuracy,LC5,0.6941448066289849,0.6941448066289849,0.6941448066289849,0.6941448066289849
case,LC5,0.7469901915739817,0.6953574184963407,0.719309977978316,500.8
control,LC5,0.636950029168317,0.6925592024022711,0.6627853847926523,382.4
macro avg,LC5,0.6919701103711494,0.6939583104493058,0.6910476813854841,883.1999999999999
weighted avg,LC5,0.6993460270452486,0.6941448066289849,0.6948359155137392,883.1999999999999
accuracy,LC6,0.7041419625607888,0.7041419625607888,0.7041419625607888,0.7041419625607888
case,LC6,0.7782702675742424,0.6713853626081171,0.7183741226433424,500.8
control,LC6,0.6384285353741836,0.7470693842585631,0.686145668635505,382.4
macro avg,LC6,0.7083494014742131,0.7092273734333401,0.7022598956394237,883.1999999999999
weighted avg,LC6,0.7177276652167381,0.7041419625607888,0.7044162573529514,883.1999999999999
accuracy,LC7,0.7064108115587032,0.7064108115587032,0.7064108115587032,0.7064108115587032
case,LC7,0.7644126300863553,0.697026746506986,0.7276080487188343,500.8
control,LC7,0.6478528749136273,0.7186836721209885,0.6798738672641447,382.4
macro avg,LC7,0.7061327524999913,0.7078552093139873,0.7037409579914895,883.1999999999999
weighted avg,LC7,0.7139423222812519,0.7064108115587032,0.7069424402004411,883.1999999999999
accuracy,LC8,0.7235071204193847,0.7235071204193847,0.7235071204193847,0.7235071204193847
case,LC8,0.7671583966476462,0.737620758483034,0.7514989687507077,500.8
control,LC8,0.6727897350966943,0.7050360203956092,0.6877450737073234,382.4
macro avg,LC8,0.7199740658721703,0.7213283894393216,0.7196220212290155,883.2
weighted avg,LC8,0.7263023561453668,0.7235071204193847,0.7238941754539187,883.2
accuracy,LC9,0.7117298596413912,0.7117298596413912,0.7117298596413912,0.7117298596413912
case,LC9,0.772320717183274,0.6988710578842315,0.7328285651350697,500.8
control,LC9,0.6500812623797834,0.7285770918485912,0.6860788883996223,382.4
macro avg,LC9,0.7112009897815287,0.7137240748664114,0.709453726767346,883.2
weighted avg,LC9,0.7193959201808208,0.7117298596413912,0.7125864570418159,883.2
