,LC,precision,recall,f1-score,support
accuracy,LC0,0.8524291160841023,0.8524291160841023,0.8524291160841023,0.8524291160841023
case,LC0,0.8810570116490055,0.8530371257485031,0.866748558487411,500.8
control,LC0,0.8183715904747021,0.851630145038481,0.834580584135166,382.4
macro avg,LC0,0.8497143010618537,0.8523336353934919,0.8506645713112886,883.1999999999999
weighted avg,LC0,0.8539158105088499,0.8524291160841023,0.8528212263083824,883.1999999999999
accuracy,LC10,0.830614728686143,0.830614728686143,0.830614728686143,0.830614728686143
case,LC10,0.8714074391975375,0.8226826347305389,0.8463416430065092,500.8
control,LC10,0.7836303299950318,0.8409990020915068,0.8112984856803852,382.4
macro avg,LC10,0.8275188845962846,0.8318408184110229,0.828820064343447,883.2
weighted avg,LC10,0.8334018739061284,0.830614728686143,0.8311694700474221,883.2
accuracy,LC11,0.8319752694178115,0.8319752694178115,0.8319752694178115,0.8319752694178115
case,LC11,0.8677033664444032,0.8302722554890221,0.848561487577616,500.8
control,LC11,0.789653930166368,0.8342104903421597,0.8113020869818852,382.4
macro avg,LC11,0.8286786483053856,0.8322413729155909,0.8299317872797506,883.2
weighted avg,LC11,0.8339118120252932,0.8319752694178115,0.8324289945012702,883.2
accuracy,LC12,0.8288045177126518,0.8288045177126518,0.8288045177126518,0.8288045177126518
case,LC12,0.8665874291130413,0.8250730538922155,0.845284123889067,500.8
control,LC12,0.7846418718204948,0.833682829138928,0.8083702706429022,382.4
macro avg,LC12,0.8256146504667681,0.8293779415155719,0.8268271972659846,883.2
weighted avg,LC12,0.8311043371589536,0.8288045177126518,0.829301787006816,883.2
accuracy,LC13,0.8414839374202507,0.8414839374202507,0.8414839374202507,0.8414839374202507
case,LC13,0.8762457553019626,0.8390538922155688,0.8572288696017987,500.8
control,LC13,0.8002314830782368,0.8446693915492188,0.8218263568561429,382.4
macro avg,LC13,0.8382386191900997,0.8418616418823938,0.8395276132289707,883.2
weighted avg,LC13,0.8433342307320695,0.8414839374202507,0.8419001916668503,883.2
accuracy,LC14,0.8301635211101603,0.8301635211101603,0.8301635211101603,0.8301635211101603
case,LC14,0.8672751662504836,0.8270810379241518,0.8466831769848268,500.8
control,LC14,0.7865378034054383,0.834198187360737,0.8096426670981648,382.4
macro avg,LC14,0.826906484827961,0.8306396126424443,0.8281629220414958,883.2
weighted avg,LC14,0.8323187053005535,0.8301635211101603,0.830646430569481,883.2
accuracy,LC1,0.8180869926156715,0.8180869926156715,0.8180869926156715,0.8180869926156715
case,LC1,0.8545261587837727,0.8170956753160347,0.8353516360996363,500.8
control,LC1,0.7753741799344364,0.8193860812270174,0.7967254565633025,382.4
macro avg,LC1,0.8149501693591046,0.818240878271526,0.8160385463314692,883.1999999999999
weighted avg,LC1,0.8202561576349666,0.8180869926156715,0.818627699278824,883.1999999999999
accuracy,LC2,0.8320498301245753,0.8320498301245753,0.8320498301245753,0.8320498301245753
case,LC2,0.8645544743358243,0.8327383898868929,0.8482792713714025,500.8
control,LC2,0.7936038241129402,0.8311559334545405,0.8118591337238006,382.4
macro avg,LC2,0.8290791492243823,0.8319471616707167,0.8300692025476016,883.1999999999999
weighted avg,LC2,0.8338375833772993,0.8320498301245753,0.8325100676692262,883.1999999999999
accuracy,LC3,0.805629034434577,0.805629034434577,0.805629034434577,0.805629034434577
case,LC3,0.8423090272991196,0.8071103127079174,0.824280221535809,500.8
control,LC3,0.7624929278514294,0.8036906665937601,0.7824842109509134,382.4
macro avg,LC3,0.8024009775752745,0.8054004896508388,0.8033822162433611,883.1999999999999
weighted avg,LC3,0.8077519048935177,0.805629034434577,0.8061839005942376,883.1999999999999
accuracy,LC4,0.8182744619757477,0.8182744619757477,0.8182744619757477,0.8182744619757477
case,LC4,0.8513175350291368,0.8214183632734531,0.8360194037686176,500.8
control,LC4,0.7790907936574353,0.8141573141224557,0.7961342743444132,382.4
macro avg,LC4,0.815204164343286,0.8177878386979544,0.8160768390565153,883.1999999999999
weighted avg,LC4,0.8200450577651672,0.8182744619757477,0.8187500668923785,883.1999999999999
accuracy,LC5,0.7867614603991261,0.7867614603991261,0.7867614603991261,0.7867614603991261
case,LC5,0.8273472305029186,0.787478243512974,0.8068510224453503,500.8
control,LC5,0.739630292921472,0.7858240035724213,0.7619392052902324,382.4
macro avg,LC5,0.7834887617121953,0.7866511235426977,0.7843951138677913,883.1999999999999
weighted avg,LC5,0.7893692191256799,0.7867614603991261,0.7874056841493946,883.1999999999999
accuracy,LC6,0.8237484391787903,0.8237484391787903,0.8237484391787903,0.8237484391787903
case,LC6,0.8559117192664196,0.8267463739188291,0.8410055596069178,500.8
control,LC6,0.7854948239449735,0.8198223814015374,0.8022040676964651,382.4
macro avg,LC6,0.8207032716056966,0.8232843776601833,0.8216048136516915,883.1999999999999
weighted avg,LC6,0.8254234794307101,0.8237484391787903,0.824205735977049,883.1999999999999
accuracy,LC7,0.8058214147232201,0.8058214147232201,0.8058214147232201,0.8058214147232201
case,LC7,0.8436480815321411,0.8057789753825682,0.8242315511632389,500.8
control,LC7,0.7615829383896404,0.8058790024560397,0.7830481871308955,382.4
macro avg,LC7,0.8026155099608907,0.8058289889193039,0.8036398691470672,883.1999999999999
weighted avg,LC7,0.8081164117861229,0.8058214147232201,0.8063999963582512,883.1999999999999
accuracy,LC8,0.860732385993861,0.860732385993861,0.860732385993861,0.860732385993861
case,LC8,0.8911048233003186,0.8594251497005988,0.8749669667517516,500.8
control,LC8,0.82412619175643,0.8624499337006,0.8428363522594384,382.4
macro avg,LC8,0.8576155075283743,0.8609375417005994,0.858901659505595,883.2
weighted avg,LC8,0.8621071132393464,0.860732385993861,0.8610552040271149,883.2
accuracy,LC9,0.8555251789713184,0.8555251789713184,0.8555251789713184,0.8555251789713184
