,LC,precision,recall,f1-score,support
accuracy,LC0,0.8454483805892773,0.8454483805892773,0.8454483805892773,0.8454483805892773
case,LC0,0.8731701027459242,0.8507719228210245,0.8616372815858505,500.8
control,LC0,0.8121673057220792,0.838469600244237,0.8248387938526012,382.4
macro avg,LC0,0.8426687042340016,0.8446207615326308,0.8432380377192259,883.1999999999999
weighted avg,LC0,0.8467560795122114,0.8454483805892773,0.8457053136449814,883.1999999999999
accuracy,LC10,0.8097769328133728,0.8097769328133728,0.8097769328133728,0.8097769328133728
case,LC10,0.8472764213805977,0.8107009980039921,0.8285502898495529,500.8
control,LC10,0.7654308675996928,0.8085779120473529,0.7863662588903917,382.4
macro avg,LC10,0.8063536444901453,0.8096394550256724,0.8074582743699723,883.2
weighted avg,LC10,0.8118428190116973,0.8097769328133728,0.8102850205276004,883.2
accuracy,LC11,0.8303866907857316,0.8303866907857316,0.8303866907857316,0.8303866907857316
case,LC11,0.8548442742153786,0.8442467065868264,0.8495029360555144,500.8
control,LC11,0.799298893094303,0.8122359985236421,0.805701017903996,382.4
macro avg,LC11,0.8270715836548408,0.8282413525552343,0.8276019769797551,883.2
weighted avg,LC11,0.8307950625757858,0.8303866907857316,0.8305379883119011,883.2
accuracy,LC12,0.8195208129423038,0.8195208129423038,0.8195208129423038,0.8195208129423038
case,LC12,0.8572183383136551,0.8178842315369261,0.8370780185685034,500.8
control,LC12,0.7751497543008746,0.8216628162891475,0.797713667561388,382.4
macro avg,LC12,0.8161840463072648,0.8197735239130367,0.8173958430649456,883.2
weighted avg,LC12,0.8216835250346897,0.8195208129423038,0.8200339221477588,883.2
accuracy,LC13,0.8272190137488918,0.8272190137488918,0.8272190137488918,0.8272190137488918
case,LC13,0.868170606447617,0.8198914171656686,0.8431850206259712,500.8
control,LC13,0.7806134636528383,0.8368296583872159,0.8075475449284719,382.4
macro avg,LC13,0.8243920350502275,0.8283605377764423,0.8253662827772216,883.2
weighted avg,LC13,0.8302649172071261,0.8272190137488918,0.8277540041611445,883.2
accuracy,LC14,0.7973324690099055,0.7973324690099055,0.7973324690099055,0.7973324690099055
case,LC14,0.8404722630820813,0.7931361277445109,0.8160863214933988,500.8
control,LC14,0.7478001908601376,0.8028351537189179,0.774300249942334,382.4
macro avg,LC14,0.7941362269711096,0.7979856407317144,0.7951932857178664,883.2
weighted avg,LC14,0.8003497623191629,0.7973324690099055,0.797993571031973,883.2
accuracy,LC1,0.812803730255932,0.812803730255932,0.812803730255932,0.812803730255932
case,LC1,0.8515028028637444,0.8118304723885562,0.8310829762411024,500.8
control,LC1,0.7675752977146533,0.8140698262545624,0.7899864292758396,382.4
macro avg,LC1,0.8095390502891989,0.8129501493215593,0.8105347027584711,883.1999999999999
weighted avg,LC1,0.8151618794548191,0.812803730255932,0.8132898011561043,883.1999999999999
accuracy,LC2,0.837335526596735,0.837335526596735,0.837335526596735,0.837335526596735
case,LC2,0.8678977899355521,0.841127877578177,0.8541521168518168,500.8
control,LC2,0.8007278921008055,0.8323864594297796,0.8160304108888936,382.4
macro avg,LC2,0.8343128410181788,0.8367571685039783,0.8350912638703553,883.1999999999999
weighted avg,LC2,0.8388206474300554,0.837335526596735,0.8376455025615854,883.1999999999999
accuracy,LC3,0.8063851466189752,0.8063851466189752,0.8063851466189752,0.8063851466189752
case,LC3,0.8446865470831525,0.8071777777777777,0.8254203559837521,500.8
control,LC3,0.7613391508020797,0.8053620494033055,0.7826131010648991,382.4
macro avg,LC3,0.8030128489426162,0.8062699135905417,0.8040167285243256,883.1999999999999
weighted avg,LC3,0.8086039520624166,0.8063851466189752,0.8068850668271579,883.1999999999999
accuracy,LC4,0.8256319297472451,0.8256319297472451,0.8256319297472451,0.8256319297472451
case,LC4,0.8520355811865364,0.8374565535595475,0.8446057643235741,500.8
control,LC4,0.7928414681968841,0.8101488205086144,0.801293567020796,382.4
macro avg,LC4,0.8224385246917102,0.8238026870340809,0.8229496656721852,883.1999999999999
weighted avg,LC4,0.8264066196268406,0.8256319297472451,0.8258524452212619,883.1999999999999
accuracy,LC5,0.7927991694979237,0.7927991694979237,0.7927991694979237,0.7927991694979237
case,LC5,0.8282376377569198,0.80052375249501,0.8140566446657709,500.8
control,LC5,0.7501813447087408,0.7826892494725666,0.7659674520889183,382.4
macro avg,LC5,0.7892094912328304,0.7916065009837884,0.7900120483773446,883.1999999999999
weighted avg,LC5,0.7944436901634027,0.7927991694979237,0.7932351307839333,883.1999999999999
accuracy,LC6,0.825826018184955,0.825826018184955,0.825826018184955,0.825826018184955
case,LC6,0.8581814127322062,0.8301365269461077,0.8438340587906893,500.8
control,LC6,0.7868438797846856,0.8201837245225759,0.8030380637846823,382.4
macro avg,LC6,0.8225126462584459,0.8251601257343418,0.8234360612876858,883.1999999999999
weighted avg,LC6,0.8272946770192707,0.825826018184955,0.8261701337510626,883.1999999999999
accuracy,LC7,0.8145029115400843,0.8145029115400843,0.8145029115400843,0.8145029115400843
case,LC7,0.8526634928711627,0.8138344644045242,0.8326563620650759,500.8
control,LC7,0.7699404186866875,0.8153901184275879,0.7918225202689112,382.4
macro avg,LC7,0.8113019557789252,0.8146122914160561,0.8122394411669935,883.1999999999999
weighted avg,LC7,0.8168495321596797,0.8145029115400843,0.8149753327425845,883.1999999999999
accuracy,LC8,0.8564327185704842,0.8564327185704842,0.8564327185704842,0.8564327185704842
case,LC8,0.8919610864450856,0.8498419161676647,0.8703266962197336,500.8
control,LC8,0.8149576993433246,0.8650608997580413,0.8391715250879676,382.4
macro avg,LC8,0.8534593928942051,0.857451407962853,0.8547491106538507,883.2
weighted avg,LC8,0.858620252729058,0.8564327185704842,0.856837820350431,883.2
accuracy,LC9,0.8437530426405251,0.8437530426405251,0.8437530426405251,0.8437530426405251
case,LC9,0.8742386934576633,0.846251497005988,0.8599910717558672,500.8
control,LC9,0.8067595287421957,0.8404836438696976,0.8232396609376298,382.4
macro avg,LC9,0.8404991110999294,0.8433675704378428,0.8416153663467485,883.2
weighted avg,LC9,0.8450236931526659,0.8437530426405251,0.8440789790942003,883.2
