,LC,precision,recall,f1-score,support
accuracy,LC0,0.6576123663159837,0.6576123663159837,0.6576123663159837,0.6576123663159837
case,LC0,0.715069836844219,0.6585469061876248,0.6855550680945723,500.8
control,LC0,0.5950055482793687,0.6563804628655011,0.6240892456519,382.4
macro avg,LC0,0.6550376925617939,0.657463684526563,0.6548221568732362,883.2
weighted avg,LC0,0.6630845403457655,0.6576123663159837,0.6589433967922037,883.2
accuracy,LC10,0.6120934391702495,0.6120934391702495,0.6120934391702495,0.6120934391702495
case,LC10,0.6775986405928474,0.6026363273453094,0.6378846651153288,500.8
control,LC10,0.5455058314528932,0.6244788320369636,0.5822903687969467,382.4
macro avg,LC10,0.6115522360228702,0.6135575796911364,0.6100875169561378,883.2
weighted avg,LC10,0.6204066873363431,0.6120934391702495,0.6138141227796944,883.2
accuracy,LC11,0.6057527044270099,0.6057527044270099,0.6057527044270099,0.6057527044270099
case,LC11,0.6687972414959642,0.60344750499002,0.6343676673550629,500.8
control,LC11,0.5398597666962874,0.608789796727407,0.5721782545416964,382.4
macro avg,LC11,0.6043285040961258,0.6061186508587134,0.6032729609483796,883.2
weighted avg,LC11,0.6129735852071179,0.6057527044270099,0.607438831875616,883.2
accuracy,LC12,0.6059807423274214,0.6059807423274214,0.6059807423274214,0.6059807423274214
case,LC12,0.6689250579281116,0.6038291417165669,0.6346929321533266,500.8
control,LC12,0.5400312666490393,0.6087952647191502,0.5723361660926441,382.4
macro avg,LC12,0.6044781622885755,0.6063122032178585,0.6035145491229854,883.2
weighted avg,LC12,0.613117471749621,0.6059807423274214,0.6076948087090985,883.2
accuracy,LC13,0.610278359971918,0.610278359971918,0.610278359971918,0.610278359971918
case,LC13,0.6743671198168608,0.6046219560878243,0.6374974873913076,500.8
control,LC13,0.5441334885409066,0.6176698153185789,0.5784854400995425,382.4
macro avg,LC13,0.6092503041788837,0.6111458857032016,0.607991463745425,883.2
weighted avg,LC13,0.6179787090889366,0.610278359971918,0.6119499810151112,883.2
accuracy,LC14,0.6150371778644379,0.6150371778644379,0.6150371778644379,0.6150371778644379
case,LC14,0.6771452386603686,0.6138219560878244,0.6439041648725948,500.8
control,LC14,0.5493749376010595,0.6166254288956023,0.5810344589946548,382.4
macro avg,LC14,0.613260088130714,0.6152236924917134,0.6124693119336249,883.2
weighted avg,LC14,0.6218247166710523,0.6150371778644379,0.6166842591347276,883.2
accuracy,LC1,0.6105071665394096,0.6105071665394096,0.6105071665394096,0.6105071665394096
case,LC1,0.6715599444781366,0.6130203592814372,0.6409387493397969,500.8
control,LC1,0.5450001695516369,0.6072095471135839,0.5744073979738619,382.4
macro avg,LC1,0.6082800570148867,0.6101149531975105,0.6076730736568294,883.2
weighted avg,LC1,0.6167633278446053,0.6105071665394096,0.6121340021098477,883.2
accuracy,LC2,0.6141345064901124,0.6141345064901124,0.6141345064901124,0.6141345064901124
case,LC2,0.6750599058146333,0.6158043912175649,0.6440329730235046,500.8
control,LC2,0.5489257860641953,0.6119393599715665,0.5786829484074485,382.4
macro avg,LC2,0.6119928459394142,0.6138718755945657,0.6113579607154767,883.2
weighted avg,LC2,0.620446438650086,0.6141345064901124,0.6157395501127334,883.2
accuracy,LC3,0.6132251733344265,0.6132251733344265,0.6132251733344265,0.6132251733344265
case,LC3,0.6772371884794813,0.6074283433133733,0.6403907083843887,500.8
control,LC3,0.5470300569363753,0.62080570858338,0.5815453767021932,382.4
macro avg,LC3,0.6121336227079283,0.6141170259483767,0.610968042543291,883.2
weighted avg,LC3,0.6208606475929492,0.6132251733344265,0.6149144642453571,883.2
accuracy,LC4,0.617300646192792,0.617300646192792,0.617300646192792,0.617300646192792
case,LC4,0.6769749623866853,0.6218075848303394,0.6482112316894848,500.8
control,LC4,0.5524493922909545,0.6113966617910407,0.5804213115865202,382.4
macro avg,LC4,0.6147121773388199,0.6166021233106901,0.6143162716380025,883.2
weighted avg,LC4,0.6230595723783103,0.617300646192792,0.6188607922803833,883.2
accuracy,LC5,0.6039404436746386,0.6039404436746386,0.6039404436746386,0.6039404436746386
case,LC5,0.669665207751231,0.5950451097804391,0.6301071626133788,500.8
control,LC5,0.5372533304317697,0.6155796754746901,0.5737123916381641,382.4
macro avg,LC5,0.6034592690915004,0.6053123926275645,0.6019097771257715,883.2
weighted avg,LC5,0.6123341856394069,0.6039404436746386,0.6056918192055762,883.2
accuracy,LC6,0.6333809052848424,0.6333809052848424,0.6333809052848424,0.6333809052848424
case,LC6,0.692005184453168,0.6369756487025948,0.6633408169724916,500.8
control,LC6,0.5693854403911605,0.6286768826979071,0.5975527800313978,382.4
macro avg,LC6,0.6306953124221643,0.632826265700251,0.6304467985019446,883.2
weighted avg,LC6,0.6389145953873895,0.6333809052848424,0.6348558084169589,883.2
accuracy,LC7,0.6048484957185243,0.6048484957185243,0.6048484957185243,0.6048484957185243
case,LC7,0.6634379613813056,0.6154203592814371,0.6384760353409297,500.8
control,LC7,0.5398998029748006,0.5910119885718973,0.5642449335818533,382.4
macro avg,LC7,0.6016688821780531,0.6032161739266672,0.6013604844613915,883.2
weighted avg,LC7,0.6099507671272262,0.6048484957185243,0.6063348915957982,883.2
accuracy,LC8,0.6166196071598776,0.6166196071598776,0.6166196071598776,0.6166196071598776
case,LC8,0.6809667284713398,0.6094227544910179,0.6431477590702859,500.8
control,LC8,0.5504184094505882,0.6260522466611075,0.5857437802164485,382.4
macro avg,LC8,0.615692568960964,0.6177375005760627,0.6144457696433671,883.2
weighted avg,LC8,0.6244441373270595,0.6166196071598776,0.61829242216328,883.2
accuracy,LC9,0.6062010935570326,0.6062010935570326,0.6062010935570326,0.6062010935570326
case,LC9,0.668990481469608,0.6046275449101797,0.6350730350340559,500.8
control,LC9,0.5403685962511666,0.6082511995406887,0.5721898225582752,382.4
macro avg,LC9,0.6046795388603873,0.6064393722254342,0.6036314287961655,883.2
weighted avg,LC9,0.6133004283994141,0.6062010935570326,0.6078484611620774,883.2
