,LC,precision,recall,f1-score,support
accuracy,LC0,0.75,0.75,0.75,0.75
case,LC0,0.7815497158912045,0.7763568862275448,0.778898334213251,500.8
control,LC0,0.7094068752565498,0.7154785176274384,0.7123591495881639,382.4
macro avg,LC0,0.7454782955738771,0.7459177019274916,0.7456287419007075,883.2
weighted avg,LC0,0.7503133842014108,0.75,0.7500893560502412,883.2
accuracy,LC10,0.7085603890480314,0.7085603890480314,0.7085603890480314,0.7085603890480314
case,LC10,0.7531125693157541,0.7232542914171656,0.7376410395200129,500.8
control,LC10,0.6560229515604158,0.6893469850860525,0.6719586562002109,382.4
macro avg,LC10,0.704567760438085,0.7063006382516092,0.704799847860112,883.2
weighted avg,LC10,0.7110813501600728,0.7085603890480314,0.7091988989800886,883.2
accuracy,LC11,0.6976898992021235,0.6976898992021235,0.6976898992021235,0.6976898992021235
case,LC11,0.744777275575111,0.7108838323353293,0.7270133170118923,500.8
control,LC11,0.6433368412666728,0.6804327915464847,0.6608119056677947,382.4
macro avg,LC11,0.6940570584208919,0.695658311940907,0.6939126113398435,883.2
weighted avg,LC11,0.7008621478646797,0.6976898992021235,0.6983480878945384,883.2
accuracy,LC12,0.7139897408567051,0.7139897408567051,0.7139897408567051,0.7139897408567051
case,LC12,0.7553502781596324,0.7348327345309381,0.7440300958704377,500.8
control,LC12,0.6657846940840518,0.6867469550120979,0.6748984786008337,382.4
macro avg,LC12,0.7105674861218422,0.7107898447715181,0.7094642872356358,883.2
weighted avg,LC12,0.7165812626498596,0.7139897408567051,0.7140916938314105,883.2
accuracy,LC13,0.7178410191500592,0.7178410191500592,0.7178410191500592,0.7178410191500592
case,LC13,0.7692359153717885,0.718449500998004,0.7416617216524447,500.8
control,LC13,0.663392059882263,0.7170163903052507,0.6877013755326062,382.4
macro avg,LC13,0.7163139876270257,0.7177329456516273,0.7146815485925255,883.2
weighted avg,LC13,0.7234040976745091,0.7178410191500592,0.718302145630087,883.2
accuracy,LC14,0.7126322747933567,0.7126322747933567,0.7126322747933567,0.7126322747933567
case,LC14,0.7579805296146322,0.7244502994011977,0.7402955527010864,500.8
control,LC14,0.6605477492689309,0.6971839842521839,0.6777506558938361,382.4
macro avg,LC14,0.7092641394417816,0.7108171418266906,0.7090231042974613,883.2
weighted avg,LC14,0.7158014967324694,0.7126322747933567,0.713212505726198,883.2
accuracy,LC1,0.7090144150699743,0.7090144150699743,0.7090144150699743,0.7090144150699743
case,LC1,0.7501559505753777,0.7304343313373254,0.739662350295937,500.8
control,LC1,0.6599213740042507,0.6809508837641655,0.6695689514664183,382.4
macro avg,LC1,0.7050386622898142,0.7056926075507455,0.7046156508811776,883.2
weighted avg,LC1,0.7110845353860639,0.7090144150699743,0.7093152140896605,883.2
accuracy,LC2,0.7155765259322651,0.7155765259322651,0.7155765259322651,0.7155765259322651
case,LC2,0.7643773973168774,0.7204423153692614,0.7414238521629922,500.8
control,LC2,0.6605987978146346,0.7092080980957719,0.6836263115144989,382.4
macro avg,LC2,0.7124880975657559,0.7148252067325167,0.7125250818387455,883.2
weighted avg,LC2,0.7194452772431449,0.7155765259322651,0.7163988659315301,883.2
accuracy,LC3,0.7194324162280994,0.7194324162280994,0.7194324162280994,0.7194324162280994
case,LC3,0.7579638566806117,0.7452079840319362,0.7504951529316596,500.8
control,LC3,0.6739775348152117,0.685649255669624,0.6781027318708625,382.4
macro avg,LC3,0.7159706957479117,0.7154286198507801,0.714298942401261,883.2
weighted avg,LC3,0.7215956437658956,0.7194324162280994,0.7191550161080602,883.2
accuracy,LC4,0.7135377646136423,0.7135377646136423,0.7135377646136423,0.7135377646136423
case,LC4,0.7485544358692932,0.7460135728542914,0.7468538980838945,500.8
control,LC4,0.6694319995897238,0.6710333137396962,0.6695843212617019,382.4
