,,train,train,train,train,test,test,test,test,validation,validation,validation,validation
,,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,,,,,
accuracy,LC0,0.7805750668146539,0.7805750668146539,0.7805750668146539,0.7805750668146539,0.5469761171032357,0.5469761171032357,0.5469761171032357,0.5469761171032357,0.5276018099547511,0.5276018099547511,0.5276018099547511,0.5276018099547511
case,LC0,0.8178799366765483,0.7889189526184539,0.8030534965715231,400.8,0.6027691141040992,0.5887524752475247,0.5949206053179645,100.2,0.5827618313683887,0.5824,0.5820070299961231,125.0
control,LC0,0.7358314195976681,0.7696217722061502,0.7522293862489506,305.6,0.4784876044551154,0.4919685577580314,0.484142234497133,76.4,0.4558283173537011,0.45625,0.4553107179113924,96.0
macro avg,LC0,0.7768556781371082,0.7792703624123021,0.777641441410237,706.4,0.5406283592796073,0.540360516502778,0.5395314199075487,176.6,0.5192950743610449,0.519325,0.5186588739537579,221.0
weighted avg,LC0,0.7823829496332385,0.7805750668146539,0.781067602664679,706.4,0.548999781525442,0.5469761171032357,0.5470414164002135,176.6,0.527623291343909,0.5276018099547511,0.5269715279140682,221.0
accuracy,LC10,0.6894114300139039,0.6894114300139039,0.6894114300139039,0.6894114300139039,0.566223677452491,0.566223677452491,0.566223677452491,0.566223677452491,0.5095022624434389,0.5095022624434389,0.5095022624434389,0.5095022624434389
case,LC10,0.730806231577778,0.7160461346633417,0.723188095660236,400.8,0.6257960961012471,0.5887128712871287,0.6057270743273431,100.2,0.5676344209852782,0.5599999999999999,0.563731500352155,125.0
control,LC10,0.638197203561097,0.6544455159112825,0.6459917763969166,305.6,0.498354798226437,0.5362952836637047,0.5155108677352948,76.4,0.4358610291040302,0.44375,0.4396962575012411,96.0
macro avg,LC10,0.6845017175694375,0.685245825287312,0.6845899360285763,706.4,0.5620754471638421,0.5625040774754166,0.560618971031319,176.6,0.5017477250446543,0.501875,0.501713878926698,221.0
weighted avg,LC10,0.6907348339440091,0.6894114300139039,0.6897954248561324,706.4,0.5706545343812511,0.566223677452491,0.5667874155366281,176.6,0.5103934905753243,0.5095022624434389,0.5098519378467807,221.0
accuracy,LC11,0.6953528254484695,0.6953528254484695,0.6953528254484695,0.6953528254484695,0.5594568567026194,0.5594568567026194,0.5594568567026194,0.5594568567026194,0.490497737556561,0.490497737556561,0.490497737556561,0.490497737556561
case,LC11,0.7368919584106838,0.7215623441396508,0.7288552376686044,400.8,0.6129301206089658,0.6069108910891089,0.6089627515695062,100.2,0.5508520978656203,0.536,0.5429217956582784,125.0
control,LC11,0.6440626670300879,0.6609557484195865,0.6519779526496978,305.6,0.4924618517721965,0.4976076555023924,0.4936795431193786,76.4,0.4165401332946971,0.43125,0.4232692759411876,96.0
macro avg,LC11,0.6904773127203858,0.6912590462796186,0.690416595159151,706.4,0.5526959861905812,0.5522592732957505,0.5513211473444424,176.6,0.4836961155801587,0.4836249999999999,0.4830955357997329,221.0
weighted avg,LC11,0.69673133391211,0.6953528254484695,0.6956012600009334,706.4,0.5608441397016163,0.5594568567026194,0.5590203996434782,176.6,0.4925084390474817,0.490497737556561,0.4909460404870535,221.0
accuracy,LC12,0.729613216279135,0.729613216279135,0.729613216279135,0.729613216279135,0.5481638418079096,0.5481638418079096,0.5481638418079096,0.5481638418079096,0.5113122171945701,0.5113122171945701,0.5113122171945701,0.5113122171945701
case,LC12,0.7731747138351502,0.7425174563591023,0.7568611232984399,400.8,0.6013327467865472,0.6067524752475247,0.6037358356364463,100.2,0.5652107256981429,0.5936,0.57820130164473,125.0
control,LC12,0.6792830846343934,0.7126604521590056,0.6947300696393482,305.6,0.4768556846610559,0.4713602187286397,0.4736988842927057,76.4,0.4316611721611721,0.4041666666666666,0.4160084241801868,96.0
macro avg,LC12,0.7262288992347719,0.727588954259054,0.7257955964688941,706.4,0.5390942157238016,0.5390563469880822,0.5387173599645759,176.6,0.4984359489296575,0.4988833333333333,0.4971048629124584,221.0
weighted avg,LC12,0.7325523397449906,0.729613216279135,0.7299867229596909,706.4,0.5474853551694375,0.5481638418079096,0.5474735740221723,176.6,0.5071982499535764,0.5113122171945701,0.5077464770447475,221.0
