,LC,precision,recall,f1-score,support
accuracy,LC0,0.6545900765713965,0.6545900765713965,0.6545900765713965,0.6545900765713965
case,LC0,0.7138990438995052,0.6547244389027431,0.6819288298432968,400.8
control,LC0,0.5924386034949333,0.6544819457837779,0.6207183745723936,305.6
macro avg,LC0,0.6531688236972192,0.6546031923432605,0.6513236022078452,706.4
weighted avg,LC0,0.6613637549320808,0.6545900765713965,0.6554387808174441,706.4
accuracy,LC10,0.6429769484435292,0.6429769484435292,0.6429769484435292,0.6429769484435292
case,LC10,0.7027968422145313,0.6456620947630922,0.6714144481254081,400.8
control,LC10,0.5803782885194748,0.6393699774991963,0.6070228131631685,305.6
macro avg,LC10,0.6415875653670031,0.6425160361311443,0.6392186306442883,706.4
weighted avg,LC10,0.6498265031892112,0.6429769484435292,0.6435710705871205,706.4
accuracy,LC11,0.6401472927543665,0.6401472927543665,0.6401472927543665,0.6401472927543665
case,LC11,0.7118661927144935,0.6162556109725685,0.660078157907757,400.8
control,LC11,0.5716552722408175,0.6714668381013608,0.6170626660632009,305.6
macro avg,LC11,0.6417607324776554,0.6438612245369646,0.6385704119854789,706.4
weighted avg,LC11,0.65120706257131,0.6401472927543665,0.6414713959372156,706.4
accuracy,LC12,0.6443957831639093,0.6443957831639093,0.6443957831639093,0.6443957831639093
case,LC12,0.6997257219992079,0.6646209476309226,0.6765479718539036,400.8
control,LC12,0.5906928767494488,0.617769206043073,0.5966283441369464,305.6
macro avg,LC12,0.6452092993743284,0.6411950768369978,0.636588157995425,706.4
weighted avg,LC12,0.6525431476854084,0.6443957831639093,0.6419892435024579,706.4
accuracy,LC13,0.6390145489660257,0.6390145489660257,0.6390145489660257,0.6390145489660257
case,LC13,0.7054203815161543,0.6262518703241896,0.6625370409444212,400.8
control,LC13,0.5730905618713132,0.6557419907853852,0.6107971691953435,305.6
macro avg,LC13,0.6392554716937339,0.6409969305547873,0.6366671050698823,706.4
weighted avg,LC13,0.6481710634242723,0.6390145489660257,0.640155286458528,706.4
accuracy,LC14,0.6404289761230271,0.6404289761230271,0.6404289761230271,0.6404289761230271
case,LC14,0.7134176535472359,0.6132917705735661,0.6591364606849804,400.8
control,LC14,0.5715603115408238,0.6760184292296153,0.6190425529014405,305.6
macro avg,LC14,0.6424889825440298,0.6446550999015908,0.6390895067932105,706.4
weighted avg,LC14,0.6520484276465947,0.6404289761230271,0.6417918182584339,706.4
accuracy,LC15,0.6390113434653866,0.6390113434653866,0.6390113434653866,0.6390113434653866
case,LC15,0.6999554874945281,0.6402431421446384,0.6662764598456985,400.8
control,LC15,0.5781393319319594,0.6374970534661952,0.6033907802369579,305.6
macro avg,LC15,0.6390474097132438,0.6388700978054168,0.6348336200413283,706.4
weighted avg,LC15,0.6472688390412462,0.6390113434653866,0.6390557705383265,706.4
accuracy,LC16,0.6276911179584166,0.6276911179584166,0.6276911179584166,0.6276911179584166
case,LC16,0.7090355667108044,0.58435536159601,0.6400684390133097,400.8
control,LC16,0.557012761745064,0.6845515911282545,0.6137561574258006,305.6
macro avg,LC16,0.6330241642279341,0.6344534763621322,0.6269122982195551,706.4
weighted avg,LC16,0.6432714299970155,0.6276911179584166,0.628681723074607,706.4
accuracy,LC17,0.6364713848964824,0.6364713848964824,0.6364713848964824,0.6364713848964824
case,LC17,0.7072933495760629,0.6153079800498753,0.6567035602430156,400.8
control,LC17,0.5695942921975912,0.6642665809493196,0.611987868382931,305.6
macro avg,LC17,0.638443820886827,0.6397872804995975,0.6343457143129733,706.4
weighted avg,LC17,0.647728370463387,0.6364713848964824,0.6373534161257466,706.4
accuracy,LC18,0.6426916588866496,0.6426916588866496,0.6426916588866496,0.6426916588866496
case,LC18,0.6951379854556424,0.6750536159600997,0.6773279112371684,400.8
control,LC18,0.5931546806851519,0.6,0.5879274701392448,305.6
macro avg,LC18,0.6441463330703971,0.6375268079800499,0.6326276906882067,706.4
weighted avg,LC18,0.6509874029058554,0.6426916588866496,0.6386921444083037,706.4
accuracy,LC19,0.6310869451979597,0.6310869451979597,0.6310869451979597,0.6310869451979597
case,LC19,0.6856099730747003,0.6536758104738155,0.6658307140409248,400.8
control,LC19,0.5730626824191816,0.6014079074252652,0.5824669922585243,305.6
macro avg,LC19,0.6293363277469408,0.6275418589495404,0.6241488531497245,706.4
weighted avg,LC19,0.6369155734136914,0.6310869451979597,0.629775502337287,706.4
accuracy,LC1,0.6511862355802557,0.6511862355802557,0.6511862355802557,0.6511862355802557
case,LC1,0.7418716443699375,0.6063029925187032,0.6581829713593307,400.8
control,LC1,0.5854630893744156,0.7101103610843245,0.6353454177339646,305.6
macro avg,LC1,0.6636673668721766,0.6582066768015139,0.6467641945466476,706.4
weighted avg,LC1,0.6742160943772944,0.6511862355802557,0.6482937222221029,706.4
accuracy,LC20,0.6288142452448401,0.6288142452448401,0.6288142452448401,0.6288142452448401
case,LC20,0.6909465081738324,0.6272206982543641,0.6555928053150704,400.8
control,LC20,0.5664990091023003,0.6309503910853959,0.5947169264915655,305.6
macro avg,LC20,0.6287227586380663,0.62908554466988,0.6251548659033179,706.4
weighted avg,LC20,0.6371144442145826,0.6288142452448401,0.6292499071438209,706.4
accuracy,LC21,0.6336369209563611,0.6336369209563611,0.6336369209563611,0.6336369209563611
case,LC21,0.7115176648566489,0.5972942643391521,0.6485683051922768,400.8
control,LC21,0.5640060186308065,0.6813350476802743,0.6164031739073521,305.6
macro avg,LC21,0.6377618417437276,0.6393146560097132,0.6324857395498145,706.4
weighted avg,LC21,0.6477066931418846,0.6336369209563611,0.6346482286135301,706.4
accuracy,LC22,0.6310873458855395,0.6310873458855395,0.6310873458855395,0.6310873458855395
case,LC22,0.7012640685579843,0.6122369077306733,0.6520001090560161,400.8
control,LC22,0.564756643675229,0.6557827065252331,0.6052651416039523,305.6
macro avg,LC22,0.6330103561166067,0.6340098071279532,0.6286326253299842,706.4
weighted avg,LC22,0.6422066403834894,0.6310873458855395,0.6317867985962307,706.4
accuracy,LC23,0.6350433343617647,0.6350433343617647,0.6350433343617647,0.6350433343617647
case,LC23,0.6963703879225939,0.6346882793017457,0.6626427480439949,400.8
control,LC23,0.5716417308985555,0.6354291224686597,0.6004232888266284,305.6
macro avg,LC23,0.6340060594105748,0.6350587008852026,0.6315330184353117,706.4
weighted avg,LC23,0.6424028927611695,0.6350433343617647,0.63573898022913,706.4
accuracy,LC24,0.6288246631219172,0.6288246631219172,0.6288246631219172,0.6288246631219172
case,LC24,0.7040045349677893,0.6043291770573566,0.6456336024101944,400.8
control,LC24,0.5638998339287697,0.6610328940319297,0.6046590461332689,305.6
macro avg,LC24,0.6339521844482794,0.6326810355446432,0.6251463242717317,706.4
weighted avg,LC24,0.6434029050508372,0.6288246631219172,0.6278948608058866,706.4
accuracy,LC25,0.6251423442627548,0.6251423442627548,0.6251423442627548,0.6251423442627548
case,LC25,0.7042572544295373,0.5888453865336658,0.6398548984141204,400.8
control,LC25,0.5555588905166184,0.6727097396335584,0.6074333665862053,305.6
macro avg,LC25,0.6299080724730779,0.6307775630836121,0.6236441325001628,706.4
weighted avg,LC25,0.639924760317734,0.6251423442627548,0.6258352548179933,706.4
accuracy,LC26,0.6378806031149452,0.6378806031149452,0.6378806031149452,0.6378806031149452
case,LC26,0.6922440367936868,0.6532157107231921,0.6709003283080974,400.8
control,LC26,0.5776482920139971,0.6178527804564449,0.5955935473157291,305.6
macro avg,LC26,0.6349461644038421,0.6355342455898184,0.6332469378119133,706.4
weighted avg,LC26,0.6426792435833606,0.6378806031149452,0.6383088229950138,706.4
accuracy,LC27,0.6268432630393755,0.6268432630393755,0.6268432630393755,0.6268432630393755
case,LC27,0.7149973650148721,0.5733740648379053,0.6345711017411684,400.8
control,LC27,0.5553061606953049,0.697019179256402,0.6169394307806924,305.6
macro avg,LC27,0.6351517628550885,0.6351966220471537,0.6257552662609303,706.4
weighted avg,LC27,0.6459189013290977,0.6268432630393755,0.626935787413354,706.4
accuracy,LC28,0.6426912581990696,0.6426912581990696,0.6426912581990696,0.6426912581990696
case,LC28,0.7112516747785811,0.6242169576059851,0.6641045784846128,400.8
control,LC28,0.5758464692052014,0.6668552448301724,0.6173877337516556,305.6
macro avg,LC28,0.6435490719918913,0.6455361012180788,0.6407461561181342,706.4
weighted avg,LC28,0.6526659348799908,0.6426912581990696,0.6439047031160259,706.4
accuracy,LC29,0.6401428851909877,0.6401428851909877,0.6401428851909877,0.6401428851909877
case,LC29,0.7035917881906155,0.6322418952618454,0.6658676215856593,400.8
control,LC29,0.5743930381717504,0.6505346619522125,0.6099521582992582,305.6
macro avg,LC29,0.6389924131811828,0.641388278607029,0.6379098899424587,706.4
weighted avg,LC29,0.647702541961958,0.6401428851909877,0.6416734868143236,706.4
accuracy,LC2,0.6432666455637875,0.6432666455637875,0.6432666455637875,0.6432666455637875
case,LC2,0.7024473587306985,0.6442256857855362,0.6717789020574045,400.8
control,LC2,0.579627250329244,0.6420143576556305,0.608908351030317,305.6
macro avg,LC2,0.6410373045299712,0.6431200217205834,0.6403436265438609,706.4
weighted avg,LC2,0.6493143920284827,0.6432666455637875,0.644579408038618,706.4
accuracy,LC30,0.639861602509907,0.639861602509907,0.639861602509907,0.639861602509907
case,LC30,0.7051945932142317,0.629720698254364,0.664004363393164,400.8
control,LC30,0.5751745341044456,0.6531790421086467,0.6102526998879905,305.6
macro avg,LC30,0.6401845636593386,0.6414498701815055,0.6371285316405773,706.4
weighted avg,LC30,0.6489487998451249,0.639861602509907,0.640748253167677,706.4
accuracy,LC31,0.6240011860352365,0.6240011860352365,0.6240011860352365,0.6240011860352365
case,LC31,0.6992372184095359,0.5928129675810474,0.6393779444561033,400.8
control,LC31,0.5569504842799379,0.6649523197257045,0.6045324738250664,305.6
macro avg,LC31,0.6280938513447369,0.6288826436533759,0.6219552091405849,706.4
weighted avg,LC31,0.6376862628484765,0.6240011860352365,0.6242949245914623,706.4
accuracy,LC32,0.6336377223315208,0.6336377223315208,0.6336377223315208,0.6336377223315208
case,LC32,0.689769146179227,0.6466895261845387,0.6665088503478438,400.8
control,LC32,0.5715703069964763,0.6164684453016178,0.5918433436943957,305.6
macro avg,LC32,0.6306697265878516,0.6315789857430782,0.6291760970211197,706.4
weighted avg,LC32,0.6386293479007648,0.6336377223315208,0.634216006537204,706.4
accuracy,LC33,0.6293960436108362,0.6293960436108362,0.6293960436108362,0.6293960436108362
case,LC33,0.6914403693062624,0.627783042394015,0.6568555834052594,400.8
control,LC33,0.5655740896927337,0.6315311261116469,0.5954143309841861,305.6
macro avg,LC33,0.6285072294994981,0.629657084252831,0.6261349571947228,706.4
weighted avg,LC33,0.6369926048840674,0.6293960436108362,0.6302728941020911,706.4
accuracy,LC34,0.6285393735650376,0.6285393735650376,0.6285393735650376,0.6285393735650376
case,LC34,0.695418854136506,0.616778054862843,0.6521925491263215,400.8
control,LC34,0.563130882725065,0.6440222865102325,0.5993545061238224,305.6
macro avg,LC34,0.6292748684307854,0.6304001706865378,0.625773527625072,706.4
weighted avg,LC34,0.6381954652539409,0.6285393735650376,0.6293247929858723,706.4
accuracy,LC35,0.6211703282833342,0.6211703282833342,0.6211703282833342,0.6211703282833342
case,LC35,0.688880417170186,0.606793017456359,0.644092631233056,400.8
control,LC35,0.5553028885852089,0.6400771456123433,0.5935408065716611,305.6
macro avg,LC35,0.6220916528776975,0.6234350815343512,0.6188167189023586,706.4
weighted avg,LC35,0.6310985428101442,0.6211703282833342,0.6222150974965822,706.4
accuracy,LC36,0.6056024137419812,0.6056024137419812,0.6056024137419812,0.6056024137419812
case,LC36,0.7080834639504787,0.5214788029925187,0.5991176368449889,400.8
control,LC36,0.533347641099453,0.716024858030644,0.6105738020723661,305.6
macro avg,LC36,0.6207155525249659,0.6187518305115813,0.6048457194586774,706.4
weighted avg,LC36,0.6325006336592184,0.6056024137419812,0.6040579118038618,706.4
accuracy,LC37,0.6353322301068633,0.6353322301068633,0.6353322301068633,0.6353322301068633
case,LC37,0.7029443026587165,0.6247468827930175,0.6591853481843336,400.8
control,LC37,0.5698126736727052,0.6491846137362048,0.6045453176426927,305.6
macro avg,LC37,0.6363784881657109,0.6369657482646112,0.6318653329135132,706.4
weighted avg,LC37,0.6453475496136728,0.6353322301068633,0.635552710387912,706.4
accuracy,LC38,0.6475083242844721,0.6475083242844721,0.6475083242844721,0.6475083242844721
case,LC38,0.7059020063564672,0.6501695760598504,0.6762405805829459,400.8
control,LC38,0.5847598318306853,0.6440201435765563,0.6122478960425797,305.6
macro avg,LC38,0.6453309190935762,0.6470948598182034,0.6442442383127628,706.4
weighted avg,LC38,0.6534943155153934,0.6475083242844721,0.6485560712281886,706.4
accuracy,LC39,0.6214640322793914,0.6214640322793914,0.6214640322793914,0.6214640322793914
case,LC39,0.6819897752826193,0.6337032418952618,0.6526722599835415,400.8
control,LC39,0.5603039246532735,0.6052759027108111,0.5774066984192824,305.6
macro avg,LC39,0.6211468499679464,0.6194895723030365,0.615039479201412,706.4
weighted avg,LC39,0.6293330083414495,0.6214640322793914,0.6201339257633585,706.4
accuracy,LC3,0.6508973398351572,0.6508973398351572,0.6508973398351572,0.6508973398351572
case,LC3,0.7114648061804058,0.6486807980049875,0.6772145637696163,400.8
control,LC3,0.5888305851156119,0.6538433515482696,0.6180539198904349,305.6
macro avg,LC3,0.6501476956480088,0.6512620747766286,0.6476342418300256,706.4
weighted avg,LC3,0.6584171597608488,0.6508973398351572,0.6516152936208395,706.4
accuracy,LC40,0.6240067956613549,0.6240067956613549,0.6240067956613549,0.6240067956613549
case,LC40,0.6990877792772643,0.5937980049875311,0.6414769270428565,400.8
control,LC40,0.5549990869997318,0.6635915568413158,0.6038469047733119,305.6
macro avg,LC40,0.6270434331384981,0.6286947809144234,0.6226619159080843,706.4
weighted avg,LC40,0.6367498917761616,0.6240067956613549,0.6252035982814064,706.4
accuracy,LC41,0.6296753228540175,0.6296753228540175,0.6296753228540175,0.6296753228540175
case,LC41,0.7020031193998209,0.6123054862842892,0.6496812131837736,400.8
