,,train,train,train,train,test,test,test,test,validation,validation,validation,validation
,,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,,,,,
accuracy,LC0,0.9122313890636332,0.9122313890636332,0.9122313890636332,0.9122313890636332,0.7644324601951721,0.7644324601951721,0.7644324601951721,0.7644324601951721,0.5447963800904978,0.5447963800904978,0.5447963800904978,0.5447963800904978
case,LC0,0.939814974940143,0.9031882793017456,0.9211147910891462,400.8,0.812467254108121,0.7645940594059406,0.786121786653096,100.2,0.597132408258561,0.5952,0.5958190566438696,125.0
control,LC0,0.8792576968437246,0.9240951462552234,0.901087220825164,305.6,0.7144338399905739,0.7641831852358167,0.7363793609076628,76.4,0.478192901346193,0.4791666666666667,0.4781797346791049,96.0
macro avg,LC0,0.9095363358919336,0.9136417127784846,0.9111010059571552,706.4,0.7634505470493474,0.7643886223208787,0.7612505737803794,176.6,0.5376626548023771,0.5371833333333333,0.5369993956614872,221.0
weighted avg,LC0,0.9136163889156756,0.9122313890636332,0.912449511235628,706.4,0.7700571740939692,0.7644324601951721,0.7646110929393766,176.6,0.5454663781065822,0.5447963800904978,0.5447178127134741,221.0
accuracy,LC10,0.8397478072372191,0.8397478072372191,0.8397478072372191,0.8397478072372191,0.7349126861838726,0.7349126861838726,0.7349126861838726,0.7349126861838726,0.4787330316742081,0.4787330316742081,0.4787330316742081,0.4787330316742081
case,LC10,0.875300169476227,0.8368291770573567,0.8556198746729011,400.8,0.7902341149199144,0.7326138613861386,0.758677259085863,100.2,0.5441267246073297,0.4911999999999999,0.5158842977941358,125.0
control,LC10,0.7976411023328497,0.8435679845708777,0.8199454669438181,305.6,0.6770769557553737,0.7379015721120984,0.7042517720842496,76.4,0.4101735062031038,0.4625,0.4343819219109127,96.0
macro avg,LC10,0.8364706359045384,0.840198580814117,0.8377826708083596,706.4,0.733655535337644,0.7352577167491186,0.7314645155850563,176.6,0.4771501154052167,0.4768499999999999,0.4751331098525242,221.0
weighted avg,LC10,0.84170298626984,0.8397478072372191,0.8401878820241506,706.4,0.741293895362827,0.7349126861838726,0.7351443827135867,176.6,0.4859389012281184,0.4787330316742081,0.4804805508041385,221.0
accuracy,LC11,0.8069042476890343,0.8069042476890343,0.8069042476890343,0.8069042476890343,0.7145672829994864,0.7145672829994864,0.7145672829994864,0.7145672829994864,0.5411764705882354,0.5411764705882354,0.5411764705882354,0.5411764705882354
case,LC11,0.8496669363219895,0.8018977556109725,0.8249561691411532,400.8,0.7558786549707602,0.7364554455445544,0.7454211602933407,100.2,0.5939380747216295,0.5968,0.5953327261930629,125.0
control,LC11,0.7580342086183842,0.813498339226401,0.7846221062221304,305.6,0.6650585908344528,0.6856117566643882,0.674279374483689,76.4,0.471748054249591,0.46875,0.4701989953730335,96.0
macro avg,LC11,0.8038505724701869,0.8076980474186868,0.8047891376816418,706.4,0.7104686229026066,0.7110336011044713,0.7098502673885149,176.6,0.5328430644856103,0.532775,0.5327658607830482,221.0
weighted avg,LC11,0.8100324151506779,0.8069042476890343,0.8075046810697426,706.4,0.7165656777654321,0.7145672829994864,0.7146867078374648,176.6,0.5408600567790246,0.5411764705882354,0.540975992443186,221.0
accuracy,LC12,0.8355065292041143,0.8355065292041143,0.8355065292041143,0.8355065292041143,0.7644453004622497,0.7644453004622497,0.7644453004622497,0.7644453004622497,0.5592760180995475,0.5592760180995475,0.5592760180995475,0.5592760180995475
case,LC12,0.8762682447500769,0.8268466334164588,0.8508109404635323,400.8,0.8041673921410913,0.7745148514851485,0.7885230961923088,100.2,0.6080154024457916,0.6208,0.6139933866114744,125.0
control,LC12,0.7886507863861191,0.8468659594985535,0.8166858457352488,305.6,0.7183663582614098,0.7515037593984962,0.7337921380200972,76.4,0.4931666002851204,0.4791666666666666,0.4855617869609739,96.0
macro avg,LC12,0.8324595155680979,0.8368562964575063,0.8337483930993905,706.4,0.7612668752012507,0.7630093054418224,0.7611576171062031,176.6,0.5505910013654559,0.5499833333333333,0.5497775867862242,221.0
weighted avg,LC12,0.8383633898188178,0.8355065292041143,0.8360474191920861,706.4,0.7671149247862907,0.7644453004622497,0.7648219491109645,176.6,0.5581263300140067,0.5592760180995475,0.5582040944556009,221.0
