,LC,precision,recall,f1-score,support
accuracy,LC0,0.7446129558322081,0.7446129558322081,0.7446129558322081,0.7446129558322081
case,LC0,0.8107307994952582,0.7220024937655861,0.7606383934482601,400.8
control,LC0,0.684771969651512,0.7742312225436623,0.7238249165791997,305.6
macro avg,LC0,0.7477513845733851,0.7481168581546241,0.74223165501373,706.4
weighted avg,LC0,0.756231626746146,0.7446129558322081,0.7447168303892683,706.4
accuracy,LC10,0.733577218506958,0.733577218506958,0.733577218506958,0.733577218506958
case,LC10,0.7945451391294205,0.7200673316708229,0.752786468822485,400.8
control,LC10,0.6758030076950093,0.751299689274617,0.7088117586764705,305.6
macro avg,LC10,0.735174073412215,0.73568351047272,0.7307991137494777,706.4
weighted avg,LC10,0.7431755911968244,0.733577218506958,0.7337616145101521,706.4
accuracy,LC11,0.7182797680820288,0.7182797680820288,0.7182797680820288,0.7182797680820288
case,LC11,0.7761902396058581,0.7110336658354115,0.7391582824930337,400.8
control,LC11,0.6637686469777093,0.7277317047037395,0.6907181935565012,305.6
macro avg,LC11,0.7199794432917838,0.7193826852695755,0.7149382380247674,706.4
weighted avg,LC11,0.7275460407827267,0.7182797680820288,0.7182090407715653,706.4
accuracy,LC12,0.7298953003353755,0.7298953003353755,0.7298953003353755,0.7298953003353755
case,LC12,0.7897252376925155,0.7165324189526185,0.7499293405737028,400.8
control,LC12,0.6698819293307763,0.7473652630451088,0.7050650671995828,305.6
macro avg,LC12,0.7298035835116459,0.7319488409988636,0.7274972038866427,706.4
weighted avg,LC12,0.737868415225521,0.7298953003353755,0.730527054668972,706.4
accuracy,LC13,0.7247917426303536,0.7247917426303536,0.7247917426303536,0.7247917426303536
case,LC13,0.7998924314628111,0.6896483790523691,0.73802751285926,400.8
control,LC13,0.6585759326623079,0.7709932497589199,0.7080698943189425,305.6
macro avg,LC13,0.7292341820625594,0.7303208144056446,0.7230487035891013,706.4
weighted avg,LC13,0.7387791368555803,0.7247917426303536,0.7250545280765075,706.4
accuracy,LC14,0.724812177696928,0.724812177696928,0.724812177696928,0.724812177696928
case,LC14,0.7717881574808806,0.7365586034912719,0.7505684379395495,400.8
control,LC14,0.6785351282788417,0.7093689060323582,0.6895517524049511,305.6
macro avg,LC14,0.7251616428798611,0.7229637547618151,0.7200600951722503,706.4
weighted avg,LC14,0.7314393479502675,0.724812177696928,0.7241770008541495,706.4
accuracy,LC15,0.7211230471489075,0.7211230471489075,0.7211230471489075,0.7211230471489075
case,LC15,0.7878008549716092,0.6976059850374065,0.73910021052756,400.8
control,LC15,0.6557575133636011,0.7519511411121826,0.6996882570170453,305.6
macro avg,LC15,0.7217791841676051,0.7247785630747945,0.7193942337723026,706.4
weighted avg,LC15,0.7306746231746083,0.7211230471489075,0.7220520558809272,706.4
accuracy,LC16,0.7313213474321937,0.7313213474321937,0.7313213474321937,0.7313213474321937
case,LC16,0.7849198950471825,0.7310860349127182,0.7539397264736547,400.8
control,LC16,0.6800799156288322,0.7317068466730955,0.7011557972479091,305.6
macro avg,LC16,0.7324999053380074,0.7313964407929069,0.7275477618607818,706.4
weighted avg,LC16,0.7395808739933614,0.7313213474321937,0.7310959118678934,706.4
accuracy,LC17,0.7253723389336101,0.7253723389336101,0.7253723389336101,0.7253723389336101
case,LC17,0.7808993097426217,0.7185436408977556,0.7473578937193165,400.8
control,LC17,0.6678010514099177,0.7342762241508625,0.6981663057514181,305.6
macro avg,LC17,0.7243501805762698,0.7264099325243091,0.7227620997353673,706.4
weighted avg,LC17,0.7319601678391681,0.7253723389336101,0.7260825377678698,706.4
accuracy,LC18,0.7349940497894387,0.7349940497894387,0.7349940497894387,0.7349940497894387
case,LC18,0.7871220497166497,0.7349850374064838,0.7578047427223582,400.8
control,LC18,0.6828174747386155,0.7349319618557806,0.7051213836399916,305.6
macro avg,LC18,0.7349697622276326,0.7349584996311321,0.7314630631811749,706.4
weighted avg,LC18,0.7419836330441778,0.7349940497894387,0.7350216762758885,706.4
accuracy,LC1,0.7423518758189053,0.7423518758189053,0.7423518758189053,0.7423518758189053
case,LC1,0.8348966934977147,0.6816658354114713,0.7496339854502378,400.8
control,LC1,0.6642904295765262,0.8220122147219543,0.7340676257320908,305.6
macro avg,LC1,0.7495935615371204,0.7518390250667129,0.7418508055911645,706.4
weighted avg,LC1,0.7611049670168021,0.7423518758189053,0.7428922259870792,706.4
accuracy,LC2,0.736696170628799,0.736696170628799,0.736696170628799,0.736696170628799
case,LC2,0.7902498810090434,0.7340399002493766,0.7589796935035148,400.8
control,LC2,0.6827537334630093,0.7401478624236579,0.7078817410458829,305.6
macro avg,LC2,0.7365018072360263,0.7370938813365173,0.7334307172746988,706.4
weighted avg,LC2,0.7437389999248065,0.736696170628799,0.7368778022676509,706.4
accuracy,LC3,0.7352753324705195,0.7352753324705195,0.7352753324705195,0.7352753324705195
case,LC3,0.7972182151399815,0.7200249376558603,0.7540216928881165,400.8
control,LC3,0.6776006607666503,0.7552448301725062,0.7109953926794048,305.6
macro avg,LC3,0.7374094379533158,0.7376348839141833,0.7325085427837607,706.4
weighted avg,LC3,0.7454640731696198,0.7352753324705195,0.7354118143787476,706.4
accuracy,LC4,0.733300343389256,0.733300343389256,0.733300343389256,0.733300343389256
case,LC4,0.7780688357086505,0.7514663341645885,0.7597422125197043,400.8
control,LC4,0.6968915590180025,0.7092874745526626,0.6941481583251349,305.6
macro avg,LC4,0.7374801973633265,0.7303769043586256,0.7269451854224196,706.4
weighted avg,LC4,0.7429100792250377,0.733300343389256,0.7313875938958814,706.4
accuracy,LC5,0.736412083134659,0.736412083134659,0.736412083134659,0.736412083134659
case,LC5,0.7740188971656139,0.7644900249376558,0.7660719470278501,400.8
control,LC5,0.6999808631458666,0.6997128468873888,0.6941300716502021,305.6
macro avg,LC5,0.7369998801557403,0.7321014359125224,0.7301010093390261,706.4
weighted avg,LC5,0.74201488268608,0.736412083134659,0.734934311839522,706.4
accuracy,LC6,0.7361295983908387,0.7361295983908387,0.7361295983908387,0.7361295983908387
case,LC6,0.7820749796700932,0.7465511221945137,0.7619062527010587,400.8
control,LC6,0.6881607113123246,0.722526518804243,0.7017928760056042,305.6
macro avg,LC6,0.735117845491209,0.7345388204993784,0.7318495643533315,706.4
weighted avg,LC6,0.7414587547512874,0.7361295983908387,0.7358918722900334,706.4
accuracy,LC7,0.7463218883604265,0.7463218883604265,0.7463218883604265,0.7463218883604265
case,LC7,0.8101949417128571,0.722564837905237,0.7634104997432208,400.8
control,LC7,0.6820216905240265,0.7775141969356049,0.7262247795494093,305.6
macro avg,LC7,0.7461083161184419,0.750039517420421,0.7448176396463151,706.4
weighted avg,LC7,0.7547524761870167,0.7463218883604265,0.7473196085743345,706.4
accuracy,LC8,0.7180073005277056,0.7180073005277056,0.7180073005277056,0.7180073005277056
case,LC8,0.7822801566039593,0.6995785536159602,0.7373361900163936,400.8
control,LC8,0.6548600004588525,0.7421407907425265,0.6943906185803173,305.6
macro avg,LC8,0.7185700785314059,0.7208596721792433,0.7158634042983555,706.4
weighted avg,LC8,0.7271501556605373,0.7180073005277056,0.7187620602438314,706.4
