,,train,train,train,train,test,test,test,test,validation,validation,validation,validation
,,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,,,,,
accuracy,LC0,0.8539081063104288,0.8539081063104288,0.8539081063104288,0.8539081063104288,0.7428351309707242,0.7428351309707242,0.7428351309707242,0.7428351309707242,0.5610859728506787,0.5610859728506787,0.5610859728506787,0.5610859728506787
case,LC0,0.8862723283109817,0.8517930174563592,0.8686402254717367,400.8,0.7876341382375759,0.7523762376237624,0.7686844699883606,100.2,0.627074631618917,0.5536000000000001,0.5879985599540379,125.0
control,LC0,0.8153338237257877,0.8566677381335047,0.8354213827054519,305.6,0.6923080222627421,0.7299726589200273,0.7095280435437115,76.4,0.4952697109746844,0.5708333333333334,0.5303269900830877,96.0
macro avg,LC0,0.8508030760183848,0.8542303777949319,0.8520308040885943,706.4,0.7399710802501589,0.7411744482718949,0.739106256766036,176.6,0.5611721712968006,0.5622166666666667,0.5591627750185627,221.0
weighted avg,LC0,0.8555786164730069,0.8539081063104288,0.8542699952552824,706.4,0.7463297731457244,0.7428351309707242,0.7431350823742546,176.6,0.5698200054567164,0.5610859728506787,0.5629466562996884,221.0
accuracy,LC1,0.8901490958484759,0.8901490958484759,0.8901490958484759,0.8901490958484759,0.7701206985105291,0.7701206985105291,0.7701206985105291,0.7701206985105291,0.5158371040723982,0.5158371040723982,0.5158371040723982,0.5158371040723982
case,LC1,0.9148099479818544,0.8892306733167082,0.901832806603011,400.8,0.8080421728808826,0.7805346534653465,0.793239422539747,100.2,0.5712151321613,0.5824,0.5757421538289791,125.0
control,LC1,0.8598467580298849,0.8913489767491696,0.8753054980594529,305.6,0.7273284504175468,0.7565618591934381,0.7405506861676201,76.4,0.439860688552651,0.4291666666666667,0.4330484033685251,96.0
macro avg,LC1,0.8873283530058697,0.890289825032939,0.8885691523312319,706.4,0.7676853116492147,0.7685482563293923,0.7668950543536835,176.6,0.5055379103569756,0.5057833333333333,0.5043952785987521,221.0
weighted avg,LC1,0.8910328401530491,0.8901490958484759,0.8903580940160453,706.4,0.7731519725966194,0.7701206985105291,0.7704384131700346,176.6,0.5141561883312986,0.5158371040723982,0.5137575382443476,221.0
accuracy,LC2,0.8335255298091525,0.8335255298091525,0.8335255298091525,0.8335255298091525,0.7418079096045197,0.7418079096045197,0.7418079096045197,0.7418079096045197,0.469683257918552,0.469683257918552,0.469683257918552,0.469683257918552
case,LC2,0.8699852554879257,0.8308428927680798,0.8498972702713434,400.8,0.7794792803719426,0.7605346534653465,0.769509540427727,100.2,0.5338610788670344,0.488,0.5094186846498395,125.0
control,LC2,0.7906640319493302,0.8370577520625737,0.8131101530093903,305.6,0.6963803032952359,0.7173615857826384,0.7062091579635439,76.4,0.4006908626491242,0.4458333333333333,0.4215863906038365,96.0
macro avg,LC2,0.830324643718628,0.8339503224153267,0.8315037116403667,706.4,0.7379297918335894,0.7389481196239925,0.7378593491956356,176.6,0.4672759707580792,0.4669166666666666,0.465502537626838,221.0
weighted avg,LC2,0.8356734409446617,0.8335255298091525,0.8339815206973606,706.4,0.7435655096541827,0.7418079096045197,0.7421183489186921,176.6,0.4760133831343675,0.469683257918552,0.4712652899511232,221.0
accuracy,LC3,0.8590048523265924,0.8590048523265924,0.8590048523265924,0.8590048523265924,0.7361004108885465,0.7361004108885465,0.7361004108885465,0.7361004108885465,0.4941176470588235,0.4941176470588235,0.4941176470588235,0.4941176470588235
case,LC3,0.8824351998783031,0.8672643391521196,0.874696755265415,400.8,0.7661280342582454,0.7704752475247525,0.7681403840269121,100.2,0.5527580898577849,0.5519999999999999,0.5519038610070031,125.0
control,LC3,0.8298340347101055,0.8481817207757419,0.8387757122498292,305.6,0.6966819599436352,0.6909090909090909,0.6935330781608146,76.4,0.4179789948715607,0.41875,0.4177903886881572,96.0
macro avg,LC3,0.8561346172942044,0.8577230299639307,0.8567362337576221,706.4,0.7314049971009403,0.7306921692169217,0.7308367310938634,176.6,0.4853685423646728,0.485375,0.4848471248475802,221.0
weighted avg,LC3,0.8596822781948766,0.8590048523265924,0.8591563292198459,706.4,0.7360859631135284,0.7361004108885465,0.7358881969014647,176.6,0.494211514660149,0.4941176470588235,0.4936464250675949,221.0
