,LC,precision,recall,f1-score,support
accuracy,LC0,0.7740695032676073,0.7740695032676073,0.7740695032676073,0.7740695032676073
case,LC0,0.8019840231041331,0.7994177057356608,0.8005252203750362,400.8
control,LC0,0.7384507564521202,0.7408528876031287,0.7393723996340809,305.6
macro avg,LC0,0.7702173897781266,0.7701352966693948,0.7699488100045585,706.4
weighted avg,LC0,0.7745059929590222,0.7740695032676073,0.7740671840923581,706.4
accuracy,LC1,0.7644413814105004,0.7644413814105004,0.7644413814105004,0.7644413814105004
case,LC1,0.7988454522155071,0.781937655860349,0.7901166190931133,400.8
control,LC1,0.7221295883181147,0.7414829101039323,0.7314182001361356,305.6
macro avg,LC1,0.7604875202668109,0.7617102829821407,0.7607674096146243,706.4
weighted avg,LC1,0.7656534787673243,0.7644413814105004,0.7647235439824913,706.4
accuracy,LC2,0.7078061954313603,0.7078061954313603,0.7078061954313603,0.7078061954313603
case,LC2,0.7568251836757394,0.7145473815461347,0.7348922996077182,400.8
control,LC2,0.6518219042705453,0.6989821065038038,0.6743440408644965,305.6
macro avg,LC2,0.7043235439731423,0.7067647440249691,0.7046181702361074,706.4
weighted avg,LC2,0.7114011860757783,0.7078061954313603,0.7086955476665762,706.4
accuracy,LC3,0.7151696310869452,0.7151696310869452,0.7151696310869452,0.7151696310869452
case,LC3,0.774711438283405,0.7020698254364091,0.7364459036896684,400.8
control,LC3,0.6525641636651478,0.7323304403728705,0.6899827770477773,305.6
macro avg,LC3,0.7136378009742764,0.7172001329046397,0.7132143403687229,706.4
weighted avg,LC3,0.7218644446122041,0.7151696310869452,0.7163473913651268,706.4
accuracy,LC4,0.726220594540231,0.726220594540231,0.726220594540231,0.726220594540231
case,LC4,0.7647612308519228,0.7475174563591022,0.7559133642466223,400.8
control,LC4,0.6786686427703655,0.6983070823957999,0.688159123254299,305.6
macro avg,LC4,0.7217149368111442,0.722912269377451,0.7220362437504606,706.4
weighted avg,LC4,0.727519593587534,0.726220594540231,0.7265996499714509,706.4
accuracy,LC5,0.717441529664905,0.717441529664905,0.717441529664905,0.717441529664905
case,LC5,0.7568034799984378,0.7405087281795512,0.748268498292871,400.8
control,LC5,0.6692148380687972,0.6871788278152791,0.6776540398140043,305.6
macro avg,LC5,0.7130091590336175,0.7138437779974152,0.7129612690534376,706.4
weighted avg,LC5,0.7189104964969604,0.717441529664905,0.7177212236959245,706.4
accuracy,LC6,0.7281983884345536,0.7281983884345536,0.7281983884345536,0.7281983884345536
case,LC6,0.7605260894498482,0.7604775561097257,0.7604746904045964,400.8
control,LC6,0.68589249462281,0.6858566377370621,0.6858321708318844,305.6
macro avg,LC6,0.7232092920363291,0.7231670969233939,0.7231534306182403,706.4
weighted avg,LC6,0.7282385205519522,0.7281983884345536,0.7281847125434798,706.4
accuracy,LC7,0.727633018259333,0.727633018259333,0.727633018259333,0.727633018259333
case,LC7,0.7594991328870803,0.7609925187032418,0.7601697497824755,400.8
control,LC7,0.6859441704127012,0.6838851387549555,0.6847930876891037,305.6
macro avg,LC7,0.7227216516498907,0.7224388287290987,0.7224814187357896,706.4
weighted avg,LC7,0.727681160701044,0.727633018259333,0.7275613071099221,706.4
accuracy,LC8,0.7151732372751642,0.7151732372751642,0.7151732372751642,0.7151732372751642
case,LC8,0.7602984260535329,0.7290673316708229,0.7434640276096702,400.8
control,LC8,0.6638110557414282,0.6969741776492018,0.6788716152218716,305.6
macro avg,LC8,0.7120547408974806,0.7130207546600124,0.7111678214157708,706.4
weighted avg,LC8,0.7185636292162492,0.7151732372751642,0.7155188948231016,706.4
