,LC,precision,recall,f1-score,support
accuracy,LC0,0.6565630622147605,0.6565630622147605,0.6565630622147605,0.6565630622147605
case,LC0,0.7156294634032501,0.6556783042394014,0.6841234414028767,400.8
control,LC0,0.5929671079065891,0.6577006321654345,0.6234137614748093,305.6
macro avg,LC0,0.6542982856549197,0.656689468202418,0.6537686014388431,706.4
weighted avg,LC0,0.6625617067223788,0.6565630622147605,0.6578633232947441,706.4
accuracy,LC1,0.7233965484771868,0.7233965484771868,0.7233965484771868,0.7233965484771868
case,LC1,0.7807761046493014,0.7125872817955112,0.745063850912476,400.8
control,LC1,0.6619397512180615,0.7375827708132434,0.6976504545906084,305.6
macro avg,LC1,0.7213579279336815,0.7250850263043773,0.7213571527515421,706.4
weighted avg,LC1,0.7293678719034833,0.7233965484771868,0.7245511394037265,706.4
accuracy,LC2,0.7038498062675551,0.7038498062675551,0.7038498062675551,0.7038498062675551
case,LC2,0.753212197269581,0.711073566084788,0.731491054680403,400.8
control,LC2,0.6470231283851029,0.6943597985642345,0.6698015222369785,305.6
macro avg,LC2,0.7001176628273419,0.7027166823245112,0.7006462884586908,706.4
weighted avg,LC2,0.7072708437186731,0.7038498062675551,0.704805448282988,706.4
accuracy,LC3,0.6862944813299622,0.6862944813299622,0.6862944813299622,0.6862944813299622
case,LC3,0.7427420262746074,0.6841346633416459,0.7122113238594395,400.8
control,LC3,0.6245384607975131,0.6891203257259187,0.6552159330822833,305.6
macro avg,LC3,0.6836402435360602,0.6866274945337822,0.6837136284708614,706.4
weighted avg,LC3,0.6916052726474556,0.6862944813299622,0.6875556644956953,706.4
accuracy,LC4,0.7313077240544775,0.7313077240544775,0.7313077240544775,0.7313077240544775
case,LC4,0.787131181546536,0.7215523690773067,0.7528407240439225,400.8
control,LC4,0.6710220900981682,0.7441080038572807,0.7055965698229094,305.6
macro avg,LC4,0.729076635822352,0.7328301864672937,0.729218646933416,706.4
weighted avg,LC4,0.7369022936014487,0.7313077240544775,0.7324017636547819,706.4
accuracy,LC5,0.6851637409795208,0.6851637409795208,0.6851637409795208,0.6851637409795208
case,LC5,0.7400611718149396,0.6861147132169576,0.7120225762684166,400.8
control,LC5,0.6243437589585241,0.6839194256937748,0.6527238693070452,305.6
macro avg,LC5,0.6822024653867318,0.6850170694553662,0.6823732227877308,706.4
weighted avg,LC5,0.690000062964208,0.6851637409795208,0.6863684373412435,706.4
