,LC,precision,recall,f1-score,support
accuracy,LC0,0.6409955483609875,0.6409955483609875,0.6409955483609875,0.6409955483609875
case,LC0,0.7049298369952915,0.6332306733167082,0.6664800920645751,400.8
control,LC0,0.5755770453429918,0.6511603985856638,0.6104337532767754,305.6
macro avg,LC0,0.6402534411691416,0.642195535951186,0.6384569226706752,706.4
weighted avg,LC0,0.6489677982911007,0.6409955483609874,0.6422366553008582,706.4
accuracy,LC1,0.7151832544646612,0.7151832544646612,0.7151832544646612,0.7151832544646612
case,LC1,0.7764379314053452,0.6991122194513716,0.7354946984668802,400.8
control,LC1,0.6518819179684907,0.736267009536055,0.6912525042132882,305.6
macro avg,LC1,0.7141599246869179,0.7176896144937132,0.7133736013400842,706.4
weighted avg,LC1,0.7225542928287162,0.7151832544646612,0.7163541172448429,706.4
accuracy,LC2,0.6939371962287285,0.6939371962287285,0.6939371962287285,0.6939371962287285
case,LC2,0.7466906889875664,0.6971034912718205,0.7207594468026814,400.8
control,LC2,0.6353345767581289,0.6898060645023036,0.6610957827064483,305.6
macro avg,LC2,0.6910126328728475,0.6934547778870621,0.6909276147545649,706.4
weighted avg,LC2,0.6985208131926733,0.6939371962287285,0.6949456744438953,706.4
accuracy,LC3,0.6882806896634625,0.6882806896634625,0.6882806896634625,0.6882806896634625
case,LC3,0.7491724646276501,0.6781521197007481,0.7115235180599072,400.8
control,LC3,0.6247493979584435,0.7015621986499518,0.6605627276874128,305.6
macro avg,LC3,0.6869609312930468,0.68985715917535,0.68604312287366,706.4
weighted avg,LC3,0.6953448236780464,0.6882806896634625,0.6894774528092567,706.4
accuracy,LC4,0.733013050394477,0.733013050394477,0.733013050394477,0.733013050394477
case,LC4,0.7799304834066259,0.7375211970074813,0.7581303234607647,400.8
control,LC4,0.6787126155431296,0.7270973963355833,0.7020688856912164,305.6
macro avg,LC4,0.7293215494748778,0.7323092966715323,0.7300996045759905,706.4
weighted avg,LC4,0.7361412907921194,0.733013050394477,0.7338775571193578,706.4
accuracy,LC5,0.6857295118423214,0.6857295118423214,0.6857295118423214,0.6857295118423214
case,LC5,0.7408902140359104,0.6866259351620948,0.7126198387676319,400.8
control,LC5,0.6247368623590608,0.6845730204650167,0.6531667401668484,305.6
macro avg,LC5,0.6828135381974856,0.6855994778135557,0.6828932894672401,706.4
weighted avg,LC5,0.6906425470828941,0.6857295118423214,0.6868964399989951,706.4
